,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-11-12 15:05:01+00:00,earthquakeBot," occurred 107.5mi E of Neiafu, Tonga. ","A 5.0 magnitude earthquake occurred 107.5mi E of Neiafu, Tonga. Details: https://t.co/3Ln2ZWEfLX Map: https://t.co/0EvhOhWQGZ",South Pacific Ocean,52H9CM85+8J,"https://www.google.com/maps/place/18%C2%B035'03.1%22S+172%C2%B020'27.6%22W/@-18.5842,-172.341,367062m/data=!3m1!1e3!4m4!3m3!8m2!3d-18.5842!4d-172.341?hl=e",-18.5842, -172.341,5.0
2,2022-11-12 14:46:01+00:00,earthquakeBot," occurred 15.53mi ENE of Dipayal, Nepal. ","A 5.3 magnitude earthquake occurred 15.53mi ENE of Dipayal, Nepal. Details: https://t.co/8ZqfXZQhO5 Map: https://t.co/lC7Z6xEwbC","Sanphebagar, 10700, Nepal","85VJ+847 Devisthan, Nepal","https://www.google.com/maps/place/29%C2%B020'35.9%22N+81%C2%B010'49.1%22E/@29.3433,81.1803,337570m/data=!3m1!1e3!4m4!3m3!8m2!3d29.3433!4d81.1803?hl=e",29.3433, 81.1803,5.3
3,2022-11-12 13:38:01+00:00,earthquakeBot," occurred 57.17mi S of Banjar, Indonesia. ","A 5.2 magnitude earthquake occurred 57.17mi S of Banjar, Indonesia. Details: https://t.co/jT45qrR6OS Map: https://t.co/8GFCNX3hbg",Indian Ocean,6P39XCCW+X8,"https://www.google.com/maps/place/8%C2%B001'39.4%22S+107%C2%B026'44.9%22E/@-8.0276,107.4458,383461m/data=!3m1!1e3!4m4!3m3!8m2!3d-8.0276!4d107.4458?hl=e",-8.0276, 107.4458,5.2
4,2022-11-12 11:05:01+00:00,earthquakeBot," occurred in Halmahera, Indonesia. ","A 5.0 magnitude earthquake occurred in Halmahera, Indonesia. Details: https://t.co/kOg7TU6l4f Map: https://t.co/e2Pvhmjp9M",North Pacific Ocean,6QJF6799+76,"https://www.google.com/maps/place/2%C2%B013'05.5%22N+129%C2%B016'04.8%22E/@2.2182,129.268,386965m/data=!3m1!1e3!4m4!3m3!8m2!3d2.2182!4d129.268?hl=e",2.2182, 129.268,5.0
5,2022-11-12 07:47:01+00:00,earthquakeBot, occurred in Fiji region. ,A 5.1 magnitude earthquake occurred in Fiji region. Details: https://t.co/OVL3LB5phk Map: https://t.co/cBSdCGDD2m,South Pacific Ocean,52F3WHQF+FJ,"https://www.google.com/maps/place/20%C2%B003'40.7%22S+178%C2%B025'33.2%22W/@-20.0613,-178.4259,363759m/data=!3m1!1e3!4m4!3m3!8m2!3d-20.0613!4d-178.4259?hl=e",-20.0613, -178.4259,5.1
6,2022-11-12 07:17:01+00:00,earthquakeBot, occurred in Fiji region. ,A 6.7 magnitude earthquake occurred in Fiji region. Details: https://t.co/XlRhpuEshI Map: https://t.co/DiEB958uj6,South Pacific Ocean,52F3QRP5+CH,"https://www.google.com/maps/place/20%C2%B012'50.4%22S+178%C2%B011'27.6%22W/@-20.214,-178.191,363404m/data=!3m1!1e3!4m4!3m3!8m2!3d-20.214!4d-178.191?hl=e",-20.214, -178.191,6.7
7,2022-11-12 04:58:01+00:00,earthquakeBot," occurred 6.84mi SE of Masagua, Guatemala. ","A 5.8 magnitude earthquake occurred 6.84mi SE of Masagua, Guatemala. Details: https://t.co/pXr6wZa7Rl Map: https://t.co/U5jvrq1p7C","Torremolinos, El Astillero, Guatemala","46F7+76C El Astillero, Guatemala","https://www.google.com/maps/place/14%C2%B007'23.5%22N+90%C2%B047'13.2%22W/@14.1232,-90.787,375550m/data=!3m1!1e3!4m4!3m3!8m2!3d14.1232!4d-90.787?hl=e",14.1232, -90.787,5.8
9,2022-11-11 17:53:02+00:00,earthquakeBot," occurred 104.39mi SE of Itoman, Japan. ","A 5.3 magnitude earthquake occurred 104.39mi SE of Itoman, Japan. Details: https://t.co/dnNdoyvsOp Map: https://t.co/I9jtasbISi",Philippine Sea,7QQC3V58+96,"https://www.google.com/maps/place/25%C2%B003'30.6%22N+128%C2%B051'56.2%22E/@25.0585,128.8656,350805m/data=!3m1!1e3!4m4!3m3!8m2!3d25.0585!4d128.8656?hl=e",25.0585, 128.8656,5.3
10,2022-11-11 15:22:01+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.0 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/xcyFZTSSHt Map: https://t.co/7kq4K20wfc,South Atlantic Ocean,5CP8CQ46+9X,"https://www.google.com/maps/place/15%C2%B035'38.8%22S+13%C2%B014'15.0%22W/@-15.5941,-13.2375,373001m/data=!3m1!1e3!4m4!3m3!8m2!3d-15.5941!4d-13.2375?hl=e",-15.5941, -13.2375,5.0
11,2022-11-11 14:50:02+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.3 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/hWrHOKuO3y Map: https://t.co/onlGZCZTlY,South Atlantic Ocean,5CP8CMMH+HV,"https://www.google.com/maps/place/15%C2%B033'57.6%22S+13%C2%B019'13.1%22W/@-15.566,-13.3203,373052m/data=!3m1!1e3!4m4!3m3!8m2!3d-15.566!4d-13.3203?hl=e",-15.566, -13.3203,5.3
12,2022-11-11 12:50:01+00:00,earthquakeBot," occurred 54.68mi SW of Tarauacá, Brazil. ","A 5.0 magnitude earthquake occurred 54.68mi SW of Tarauacá, Brazil. Details: https://t.co/1KuODFcxaV Map: https://t.co/mCPlXlk5DS","Tarauacá - State of Acre, Brazil","9H8Q+J25 Apuanã, Tarauacá - State of Acre, Brazil","https://www.google.com/maps/place/8%C2%B038'00.6%22S+71%C2%B024'44.6%22W/@-8.6335,-71.4124,382867m/data=!3m1!1e3!4m4!3m3!8m2!3d-8.6335!4d-71.4124?hl=e",-8.6335, -71.4124,5.0
13,2022-11-11 12:19:01+00:00,earthquakeBot," occurred 141.67mi ENE of Neiafu, Tonga. ","A 5.1 magnitude earthquake occurred 141.67mi ENE of Neiafu, Tonga. Details: https://t.co/RV9Vv3rsGI Map: https://t.co/BY4bFYh9cC",South Pacific Ocean,52J96XQ7+3H,"https://www.google.com/maps/place/17%C2%B045'44.3%22S+172%C2%B002'09.6%22W/@-17.7623,-172.036,368795m/data=!3m1!1e3!4m4!3m3!8m2!3d-17.7623!4d-172.036?hl=e",-17.7623, -172.036,5.1
14,2022-11-11 11:55:01+00:00,earthquakeBot," occurred 118.68mi W of Bengkulu, Indonesia. ","A 5.0 magnitude earthquake occurred 118.68mi W of Bengkulu, Indonesia. Details: https://t.co/8ixKRJNNU6 Map: https://t.co/PYROCidiTZ",Indian Ocean,6P825GXQ+2Q,"https://www.google.com/maps/place/3%C2%B048'09.0%22S+100%C2%B032'21.8%22E/@-3.8025,100.5394,386403m/data=!3m1!1e3!4m4!3m3!8m2!3d-3.8025!4d100.5394?hl=e",-3.8025, 100.5394,5.0
16,2022-11-10 10:45:02+00:00,earthquakeBot," occurred 24.85mi NW of Port-Olry, Vanuatu. ","A 5.2 magnitude earthquake occurred 24.85mi NW of Port-Olry, Vanuatu. Details: https://t.co/hkoCKvWM7r Map: https://t.co/dDjUBIkSCy",Vanuatu,"5QPJ+H3W Pesena, Vanuatu","https://www.google.com/maps/place/14%C2%B048'48.6%22S+166%C2%B046'48.7%22E/@-14.8135,166.7802,374384m/data=!3m1!1e3!4m4!3m3!8m2!3d-14.8135!4d166.7802?hl=e",-14.8135, 166.7802,5.2
18,2022-11-10 05:21:01+00:00,earthquakeBot," occurred 8.08mi S of Shi Yomi, India. ","A 5.4 magnitude earthquake occurred 8.08mi S of Shi Yomi, India. Details: https://t.co/94AfG5qSeN Map: https://t.co/P3soY6jNRB",Arunachal West,7MWPC968+CJ,"https://www.google.com/maps/place/28%C2%B024'39.6%22N+94%C2%B021'59.8%22E/@28.411,94.3666,340613m/data=!3m1!1e3!4m4!3m3!8m2!3d28.411!4d94.3666?hl=e",28.411, 94.3666,5.4
19,2022-11-09 18:09:01+00:00,earthquakeBot, occurred in south of the Fiji Islands. ,A 5.1 magnitude earthquake occurred in south of the Fiji Islands. Details: https://t.co/FbwNFQsQs5 Map: https://t.co/ZD5fLkTvj3,South Pacific Ocean,5V5WWCP6+2J,"https://www.google.com/maps/place/26%C2%B003'54.0%22S+178%C2%B024'41.8%22E/@-26.065,178.4116,347870m/data=!3m1!1e3!4m4!3m3!8m2!3d-26.065!4d178.4116?hl=e",-26.065, 178.4116,5.1
20,2022-11-09 10:27:02+00:00,earthquakeBot, occurred in south of the Fiji Islands. ,A 6.5 magnitude earthquake occurred in south of the Fiji Islands. Details: https://t.co/hsi6cKrMrE Map: https://t.co/83atCAfL8v,South Pacific Ocean,5V6W9C79+5H,"https://www.google.com/maps/place/25%C2%B038'13.2%22S+178%C2%B025'08.4%22E/@-25.637,178.419,349131m/data=!3m1!1e3!4m4!3m3!8m2!3d-25.637!4d178.419?hl=e",-25.637, 178.419,6.5
