,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-11-19 20:21:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.1 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/Ba92U0JXDp Map: https://t.co/SBNzUhbegi,South Atlantic Ocean,39GM5JX2+W7,"https://www.google.com/maps/place/59%C2%B048'00.7%22S+26%C2%B023'57.5%22W/@-59.8002,-26.3993,389592m/data=!3m1!1e3!4m5!3m4!1s0x0:0x956e3c5bf4eaa1bd!8m2!3d-59.8002!4d-26.3993?hl=e",-59.8002, -26.3993,5.1
2,2022-11-19 18:49:02+00:00,earthquakeBot," occurred 31.69mi SSW of Singaparna, Indonesia. ","A 5.0 magnitude earthquake occurred 31.69mi SSW of Singaparna, Indonesia. Details: https://t.co/CIj1ivOZf1 Map: https://t.co/37at4DCX06",Indonesia,"52W9+75J Sindangkerta, Tasikmalaya Regency, West Java, Indonesia","https://www.google.com/maps/place/7%C2%B048'15.5%22S+108%C2%B001'04.4%22E/@-7.8043,108.0179,383669m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3ee5100d20814885!8m2!3d-7.8043!4d108.0179?hl=e",-7.8043, 108.0179,5.0
3,2022-11-19 17:30:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.3 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/dHHRqxKMFG Map: https://t.co/NplWf4IRxk,South Atlantic Ocean,39GM5H9X+JM,"https://www.google.com/maps/place/59%C2%B049'51.6%22S+26%C2%B024'02.9%22W/@-59.831,-26.4008,389232m/data=!3m1!1e3!4m5!3m4!1s0x0:0x1df3f00189a0c737!8m2!3d-59.831!4d-26.4008?hl=e",-59.831, -26.4008,5.3
4,2022-11-19 14:41:01+00:00,earthquakeBot," occurred 53.44mi SSE of Ust’-Kamchatsk Staryy, Russia. ","A 5.2 magnitude earthquake occurred 53.44mi SSE of Ust’-Kamchatsk Staryy, Russia. Details: https://t.co/HXHXcAEd3b Map: https://t.co/J8uTFnzeDb",Pacific Ocean,9V74FQCR+9C,"https://www.google.com/maps/place/55%C2%B028'15.2%22N+162%C2%B047'27.6%22E/@55.4709,162.791,219506m/data=!3m1!1e3!4m5!3m4!1s0x0:0x112d574a82e434e!8m2!3d55.4709!4d162.791?hl=e",55.4709, 162.791,5.2
5,2022-11-19 02:40:01+00:00,earthquakeBot," occurred 19.88mi WNW of Ilioilio, Philippines. ","A 5.1 magnitude earthquake occurred 19.88mi WNW of Ilioilio, Philippines. Details: https://t.co/BUWAHUPDJm Map: https://t.co/l30UwYYtlE",West Philippine Sea,7P8X2FVG+PH,"https://www.google.com/maps/place/16%C2%B002'39.5%22N+119%C2%B028'35.0%22E/@16.0443,119.4764,372171m/data=!3m1!1e3!4m5!3m4!1s0x0:0xa13d42809bfe300f!8m2!3d16.0443!4d119.4764?hl=e",16.0443, 119.4764,5.1
6,2022-11-19 01:06:02+00:00,earthquakeBot, occurred in southwest of Africa. ,A 5.3 magnitude earthquake occurred in southwest of Africa. Details: https://t.co/DYs1JGrRlg Map: https://t.co/4G1a6WV51S,South Atlantic Ocean,3FVMQJJP+XJ,"https://www.google.com/maps/place/52%C2%B013'03.0%22S+13%C2%B038'11.8%22E/@-52.2175,13.6366,237258m/data=!3m1!1e3!4m5!3m4!1s0x0:0xabf1a35a1fc08393!8m2!3d-52.2175!4d13.6366?hl=e",-52.2175, 13.6366,5.3
8,2022-11-18 17:49:01+00:00,earthquakeBot," occurred 57.79mi W of Gejiu, China. ","A 5.0 magnitude earthquake occurred 57.79mi W of Gejiu, China. Details: https://t.co/JBRbPoiRTE Map: https://t.co/CRxTwyb5zy","Yuanjiang Hani, Yi and Dai Autonomous County, Yuxi, Yunnan, China","F65W+XFW Yuanjiang Hani, Yi and Dai Autonomous County, Yuxi, Yunnan, China","https://www.google.com/maps/place/23%C2%B027'36.0%22N+102%C2%B014'46.3%22E/@23.46,102.2462,355244m/data=!3m1!1e3!4m5!3m4!1s0x0:0x9bd04d59a8284c6!8m2!3d23.46!4d102.2462?hl=e",23.46, 102.2462,5.0
9,2022-11-18 14:25:01+00:00,earthquakeBot," occurred 131.11mi WSW of Bengkulu, Indonesia. ","A 5.4 magnitude earthquake occurred 131.11mi WSW of Bengkulu, Indonesia. Details: https://t.co/5djPgscxBN Map: https://t.co/trxNXXkL5o",Indian Ocean,6P729H92+25,"https://www.google.com/maps/place/4%C2%B037'57.0%22S+100%C2%B033'01.4%22E/@-4.6325,100.5504,385990m/data=!3m1!1e3!4m5!3m4!1s0x0:0x7cb90256ef1c87d5!8m2!3d-4.6325!4d100.5504?hl=e",-4.6325, 100.5504,5.4
10,2022-11-18 13:57:01+00:00,earthquakeBot," occurred 131.73mi SW of Bengkulu, Indonesia. ","A 6.9 magnitude earthquake occurred 131.73mi SW of Bengkulu, Indonesia. Details: https://t.co/3AEbksIBwG Map: https://t.co/bXc4rcZVgD",Indian Ocean,6P722PVQ+J9,"https://www.google.com/maps/place/4%C2%B057'21.2%22S+100%C2%B044'18.2%22E/@-4.9559,100.7384,385808m/data=!3m1!1e3!4m5!3m4!1s0x0:0xa5b5fe1385269a10!8m2!3d-4.9559!4d100.7384?hl=e",-4.9559, 100.7384,6.9
11,2022-11-18 12:00:02+00:00,earthquakeBot," occurred 154.72mi ESE of Tadine, New Caledonia. ","A 5.0 magnitude earthquake occurred 154.72mi ESE of Tadine, New Caledonia. Details: https://t.co/7DUeXtkOBk Map: https://t.co/lnck4MQQPs",South Pacific Ocean,5V9GW6VH+GH,"https://www.google.com/maps/place/22%C2%B003'22.3%22S+170%C2%B013'44.0%22E/@-22.0562,170.2289,358914m/data=!3m1!1e3!4m5!3m4!1s0x0:0x59389c4851f577ee!8m2!3d-22.0562!4d170.2289?hl=e",-22.0562, 170.2289,5.0
