,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-10-09 23:18:02+00:00,earthquakeBot," occurred 73.32mi NNE of Ba, Fiji. ","A 5.0 magnitude earthquake occurred 73.32mi NNE of Ba, Fiji. Details: https://t.co/DQ5n45JjlK Map: https://t.co/P5Ow7Cav1r",South Pacific Ocean,5VMWF2R5+5R,"https://www.google.com/maps/place/16%C2%B030'34.6%22S+178%C2%B000'34.6%22E/@-16.5096,178.0096,371290m/data=!3m1!1e3!4m5!3m4!1s0x0:0xc71778ce4775eb7d!8m2!3d-16.5096!4d178.0096?hl=e",-16.5096, 178.0096,5.0
2,2022-10-09 21:32:01+00:00,earthquakeBot," occurred 22.37mi NNE of Ambunti, Papua New Guinea. ","A 5.4 magnitude earthquake occurred 22.37mi NNE of Ambunti, Papua New Guinea. Details: https://t.co/qUx3JFzRyA Map: https://t.co/fOXN6m3j3E","Ambunti-Dreikikir, Papua New Guinea","4V4Q+569 Kwaringia, Papua New Guinea","https://www.google.com/maps/place/3%C2%B053'40.6%22S+142%C2%B053'17.2%22E/@-3.8946,142.8881,386361m/data=!3m1!1e3!4m5!3m4!1s0x0:0x1cd55152d8407022!8m2!3d-3.8946!4d142.8881?hl=e",-3.8946, 142.8881,5.4
4,2022-10-09 17:01:01+00:00,earthquakeBot, occurred in central Mid-Atlantic Ridge. ,A 6.2 magnitude earthquake occurred in central Mid-Atlantic Ridge. Details: https://t.co/UfauXBdDxN Map: https://t.co/GddmmWcoLJ,South Atlantic Ocean,69CRH4XG+F5,"https://www.google.com/maps/place/1%C2%B024'04.7%22S+23%C2%B052'28.6%22W/@-1.4013,-23.8746,387140m/data=!3m1!1e3!4m5!3m4!1s0x0:0x8248d171cbe566f6!8m2!3d-1.4013!4d-23.8746?hl=e",-1.4013, -23.8746,6.2
5,2022-10-08 22:20:02+00:00,earthquakeBot," occurred 4.97mi WSW of Antikyra, Greece. ","A 5.2 magnitude earthquake occurred 4.97mi WSW of Antikyra, Greece. Details: https://t.co/qjoI1PQ1MJ Map: https://t.co/C6xFKY7Gle","Desfina 330 50, Greece","8GRX+3MG Desfina, Greece","https://www.google.com/maps/place/38%C2%B020'24.7%22N+22%C2%B032'57.1%22E/@38.3402,22.5492,303740m/data=!3m1!1e3!4m5!3m4!1s0x0:0x5ebb97fc3cd7dd09!8m2!3d38.3402!4d22.5492?hl=e",38.3402, 22.5492,5.2
6,2022-10-08 15:10:01+00:00,earthquakeBot, occurred in Pacific-Antarctic Ridge. ,A 5.3 magnitude earthquake occurred in Pacific-Antarctic Ridge. Details: https://t.co/WEUy9DTnzh Map: https://t.co/hWmQTgYdOh,South Pacific Ocean,34Q9Q422+26,"https://www.google.com/maps/place/54%C2%B015'00.0%22S+132%C2%B053'58.2%22W/@-54.25,-132.8995,226254m/data=!3m1!1e3!4m5!3m4!1s0x0:0x561e9258d85bd6b3!8m2!3d-54.25!4d-132.8995?hl=e",-54.25, -132.8995,5.3
9,2022-10-07 09:36:02+00:00,earthquakeBot," occurred 79.54mi SW of Lotofagā, Samoa. ","A 5.8 magnitude earthquake occurred 79.54mi SW of Lotofagā, Samoa. Details: https://t.co/Nv7qYElWwg Map: https://t.co/ctTgRD8r5x",South Pacific Ocean,52Q93FF4+HQ,"https://www.google.com/maps/place/14%C2%B055'33.6%22S+172%C2%B032'34.8%22W/@-14.926,-172.543,374189m/data=!3m1!1e3!4m5!3m4!1s0x0:0x77920b5f7ec7b4c2!8m2!3d-14.926!4d-172.543?hl=e",-14.926, -172.543,5.8
10,2022-10-07 08:21:01+00:00,earthquakeBot," occurred 54.06mi WSW of Hihifo, Tonga. ","A 5.0 magnitude earthquake occurred 54.06mi WSW of Hihifo, Tonga. Details: https://t.co/0GmsG0ZFk8 Map: https://t.co/MBVGLJIpRf",South Pacific Ocean,52M7RCQ7+F9,"https://www.google.com/maps/place/16%C2%B009'40.7%22S+174%C2%B035'11.4%22W/@-16.1613,-174.5865,371952m/data=!3m1!1e3!4m5!3m4!1s0x0:0x14196124b4dc7a9f!8m2!3d-16.1613!4d-174.5865?hl=e",-16.1613, -174.5865,5.0
12,2022-10-06 19:49:02+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.1 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/Sz9gmaR1bx Map: https://t.co/O9kQpTI8Ot,South Atlantic Ocean,4C49QWJ9+RG,"https://www.google.com/maps/place/47%C2%B013'04.4%22S+12%C2%B004'52.3%22W/@-47.2179,-12.0812,263029m/data=!3m1!1e3!4m5!3m4!1s0x0:0xc419edce8a3ca004!8m2!3d-47.2179!4d-12.0812?hl=e",-47.2179, -12.0812,5.1
13,2022-10-06 16:57:01+00:00,earthquakeBot," occurred 95.69mi NW of Nago, Japan. ","A 5.3 magnitude earthquake occurred 95.69mi NW of Nago, Japan. Details: https://t.co/XirU1d6KdY Map: https://t.co/AwjVJC0MfS",East China Sea,7QV8JWC6+4H,"https://www.google.com/maps/place/27%C2%B037'13.1%22N+126%C2%B054'41.4%22E/@27.6203,126.9115,343124m/data=!3m1!1e3!4m5!3m4!1s0x0:0xbbdc7a9c235521a2!8m2!3d27.6203!4d126.9115?hl=e",27.6203, 126.9115,5.3
14,2022-10-06 04:08:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.3 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/yHsyj3U3PV Map: https://t.co/FBKdPB71oP,South Atlantic Ocean,39PH2V4R+MJ,"https://www.google.com/maps/place/55%C2%B059'35.9%22S+28%C2%B006'30.2%22W/@-55.9933,-28.1084,216588m/data=!3m1!1e3!4m5!3m4!1s0x0:0xb34cff2c0d7e2e8e!8m2!3d-55.9933!4d-28.1084?hl=e",-55.9933, -28.1084,5.3
15,2022-10-06 02:19:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.0 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/JaRu47CZ1E Map: https://t.co/8RA2j4WODT,South Atlantic Ocean,39HP7P7H+2P,"https://www.google.com/maps/place/58%C2%B044'15.0%22S+25%C2%B016'14.5%22W/@-58.7375,-25.2707,401940m/data=!3m1!1e3!4m5!3m4!1s0x0:0x541661b85dba1711!8m2!3d-58.7375!4d-25.2707?hl=e",-58.7375, -25.2707,5.0
16,2022-10-05 18:35:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.1 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/yP9kNW0lp6 Map: https://t.co/mbtIgA4Ogb,South Atlantic Ocean,39HP8V2W+JF,"https://www.google.com/maps/place/58%C2%B041'54.6%22S+25%C2%B006'13.7%22W/@-58.6985,-25.1038,402390m/data=!3m1!1e3!4m5!3m4!1s0x0:0x2fbe0325e284b9f0!8m2!3d-58.6985!4d-25.1038?hl=e",-58.6985, -25.1038,5.1
17,2022-10-05 16:53:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.3 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/A1FQUxKNen Map: https://t.co/EzRmqMjKun,South Atlantic Ocean,39HP8QFX+RP,"https://www.google.com/maps/place/58%C2%B040'31.4%22S+25%C2%B012'02.5%22W/@-58.6754,-25.2007,402657m/data=!3m1!1e3!4m5!3m4!1s0x0:0xfcc5459a8bc0892d!8m2!3d-58.6754!4d-25.2007?hl=e",-58.6754, -25.2007,5.3
18,2022-10-05 08:44:01+00:00,earthquakeBot, occurred in Peru-Ecuador border region. ,A 5.8 magnitude earthquake occurred in Peru-Ecuador border region. Details: https://t.co/4nEds92rSd Map: https://t.co/0UmldZGfTG,"Tambo Grande, Peru","3CQR+52X Santa Paula, Peru","https://www.google.com/maps/place/4%C2%B054'43.2%22S+80%C2%B033'35.6%22W/@-4.912,-80.5599,385833m/data=!3m1!1e3!4m5!3m4!1s0x0:0x215183c357fd1cad!8m2!3d-4.912!4d-80.5599?hl=e",-4.912, -80.5599,5.8
19,2022-10-05 00:41:01+00:00,earthquakeBot," occurred 6.84mi ESE of Khowy, Iran. ","A 5.7 magnitude earthquake occurred 6.84mi ESE of Khowy, Iran. Details: https://t.co/0PqeNd7fnO Map: https://t.co/DAnnPSvZ0e","West Azerbaijan Province, Iran","G3FJ+3GM قارا شعبان، West Azerbaijan Province, Iran","https://www.google.com/maps/place/38%C2%B031'21.7%22N+45%C2%B004'52.7%22E/@38.5227,45.0813,302974m/data=!3m1!1e3!4m5!3m4!1s0x0:0xd8f7b06c49f5e0d4!8m2!3d38.5227!4d45.0813?hl=e",38.5227, 45.0813,5.7
20,2022-10-04 22:34:01+00:00,earthquakeBot," occurred in Pulau Pulau Tanimbar, Indonesia. ","A 5.1 magnitude earthquake occurred in Pulau Pulau Tanimbar, Indonesia. Details: https://t.co/RvJknrXxj3 Map: https://t.co/FgA0cwLpNz",Banda Sea,"84CG+X59 Wairatan, Maluku Barat Daya Regency, Maluku, Indonesia","https://www.google.com/maps/place/7%C2%B040'39.4%22S+130%C2%B007'31.8%22E/@-7.6776,130.1255,383784m/data=!3m1!1e3!4m5!3m4!1s0x0:0x876aea3c683725c4!8m2!3d-7.6776!4d130.1255?hl=e",-7.6776, 130.1255,5.1
21,2022-10-04 13:30:01+00:00,earthquakeBot," occurred 14.91mi NNE of Calama, Chile. ","A 5.0 magnitude earthquake occurred 14.91mi NNE of Calama, Chile. Details: https://t.co/bU5b4nzRM1 Map: https://t.co/O0f7nuYSHf","Calama, Antofagasta, Chile","P5MV+987 Estación Cere, Calama, Chile","https://www.google.com/maps/place/22%C2%B015'59.8%22S+68%C2%B048'24.1%22W/@-22.2666,-68.8067,358378m/data=!3m1!1e3!4m5!3m4!1s0x0:0xf28399981e02553a!8m2!3d-22.2666!4d-68.8067?hl=e",-22.2666, -68.8067,5.0
22,2022-10-03 18:23:01+00:00,earthquakeBot, occurred in Reykjanes Ridge. ,A 5.2 magnitude earthquake occurred in Reykjanes Ridge. Details: https://t.co/B69vTo89Lp Map: https://t.co/MKdP6yf7UV,North Atlantic Ocean,9956QFQR+C5,"https://www.google.com/maps/place/53%C2%B047'19.0%22N+35%C2%B030'34.2%22W/@53.7886,-35.5095,228777m/data=!3m1!1e3!4m5!3m4!1s0x0:0x78167c3cbf394ffa!8m2!3d53.7886!4d-35.5095?hl=e",53.7886, -35.5095,5.2
25,2022-10-03 08:40:01+00:00,earthquakeBot," occurred 1.86mi ENE of Libas, Philippines. ","A 5.0 magnitude earthquake occurred 1.86mi ENE of Libas, Philippines. Details: https://t.co/g2R8D5TWU8 Map: https://t.co/dd5a48nbiL","Jamoyaon, Surigao del Norte, Philippines","W226+94V Del Carmen, Surigao del Norte, Philippines","https://www.google.com/maps/place/9%C2%B054'03.6%22N+126%C2%B000'37.1%22E/@9.901,126.0103,381488m/data=!3m1!1e3!4m5!3m4!1s0x0:0xaf97e7f915df7141!8m2!3d9.901!4d126.0103?hl=e",9.901, 126.0103,5.0
26,2022-10-03 07:21:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.5 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/lfzobc4jMZ Map: https://t.co/sXrXsbN8uc,South Atlantic Ocean,39MMHXX8+W5,"https://www.google.com/maps/place/56%C2%B024'00.7%22S+26%C2%B002'04.2%22W/@-56.4002,-26.0345,428605m/data=!3m1!1e3!4m5!3m4!1s0x0:0xed7579290da7a3e0!8m2!3d-56.4002!4d-26.0345?hl=e",-56.4002, -26.0345,5.5
