,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-09-03 07:13:02+00:00,earthquakeBot," occurred 21.13mi W of Ciudad Cortés, Costa Rica. ","A 5.0 magnitude earthquake occurred 21.13mi W of Ciudad Cortés, Costa Rica. Details: https://t.co/u86ZKhWurj Map: https://t.co/LDXigBNuhJ",North Pacific Ocean,66WRX5V8+M7,Timed out waiting for page to load,8.9942, -83.8343,5.0
2,2022-09-03 04:34:01+00:00,earthquakeBot," occurred 9.32mi SSE of Palekastro, Greece. ","A 5.3 magnitude earthquake occurred 9.32mi SSE of Palekastro, Greece. Details: https://t.co/Q4kXxnJCCe Map: https://t.co/h8fja0k8LS","Notio Kritiko Pelagos, Greece","389H+RG3 Itanos, Greece",Timed out waiting for page to load,35.0695, 26.3288,5.3
3,2022-09-03 04:05:02+00:00,earthquakeBot," occurred 82.64mi SE of Kuril’sk, Russia. ","A 5.1 magnitude earthquake occurred 82.64mi SE of Kuril’sk, Russia. Details: https://t.co/ojAi0yt67N Map: https://t.co/MJP6d8iSHG",Pacific Ocean,8RPC7WQG+XR,Timed out waiting for page to load,44.2899, 148.9271,5.1
4,2022-09-03 04:05:01+00:00,earthquakeBot," occurred 93.21mi SE of Kuril’sk, Russia. ","A 5.4 magnitude earthquake occurred 93.21mi SE of Kuril’sk, Russia. Details: https://t.co/DP4y3RZl42 Map: https://t.co/3gz8YIpn6L",Pacific Ocean,8RPF53JQ+RG,"https://www.google.com/maps/place/44%C2%B010'55.6%22N+149%C2%B005'19.7%22E/@44.1821,149.0888,277274m/data=!3m1!1e3!4m5!3m4!1s0x0:0x469e5fec4c90fd5d!8m2!3d44.1821!4d149.0888?hl=e",44.1821, 149.0888,5.4
5,2022-09-02 23:15:02+00:00,earthquakeBot," occurred 68.97mi WNW of Kandrian, Papua New Guinea. ","A 6.1 magnitude earthquake occurred 68.97mi WNW of Kandrian, Papua New Guinea. Details: https://t.co/QqWI15Ei0e Map: https://t.co/CFDDt0PcF1","West New Britain Province, Papua New Guinea",6R6C8PW3+C5,"https://www.google.com/maps/place/5%C2%B039'14.0%22S+148%C2%B042'10.4%22E/@-5.6539,148.7029,384764m/data=!3m1!1e3!4m5!3m4!1s0x0:0xcebbfb730539a595!8m2!3d-5.6539!4d148.7029?hl=e",-5.6539, 148.7029,6.1
6,2022-09-02 17:36:01+00:00,earthquakeBot," occurred 112.47mi NNW of Nuku‘alofa, Tonga. ","A 5.0 magnitude earthquake occurred 112.47mi NNW of Nuku‘alofa, Tonga. Details: https://t.co/kIQyr4b8p1 Map: https://t.co/Th1RmrfdNE",South Pacific Ocean,52G57WC8+RR,Timed out waiting for page to load,-19.7279, -176.0829,5.0
7,2022-09-02 04:51:01+00:00,earthquakeBot," occurred 174.61mi WNW of Neiafu, Tonga. ","A 5.0 magnitude earthquake occurred 174.61mi WNW of Neiafu, Tonga. Details: https://t.co/ChNrW51V8k Map: https://t.co/pjYaAZR0A7",South Pacific Ocean,52J58HG4+74,"https://www.google.com/maps/place/17%C2%B040'27.5%22S+176%C2%B026'40.9%22W/@-17.6743,-176.4447,368394m/data=!3m1!1e3!4m5!3m4!1s0x0:0x98031fe239733de7!8m2!3d-17.6743!4d-176.4447?hl=e",-17.6743, -176.4447,5.0
8,2022-09-01 16:44:01+00:00,earthquakeBot," occurred in Kepulauan Barat Daya, Indonesia. ","A 5.2 magnitude earthquake occurred in Kepulauan Barat Daya, Indonesia. Details: https://t.co/yyhU5cOcDG Map: https://t.co/a1o0VhEHwE",Banda Sea,6Q4CPWPQ+49,Timed out waiting for page to load,-7.2647, 128.9384,5.2
9,2022-09-01 07:22:01+00:00,earthquakeBot, occurred in Owen Fracture Zone region. ,A 5.4 magnitude earthquake occurred in Owen Fracture Zone region. Details: https://t.co/0Vvj2KUGjj Map: https://t.co/hewRCVJjyq,Arabian Sea,7H5V5M7M+2F,Timed out waiting for page to load,13.1626, 57.6837,5.4
10,2022-08-31 22:05:01+00:00,earthquakeBot, occurred in south of the Fiji Islands. ,A 5.5 magnitude earthquake occurred in south of the Fiji Islands. Details: https://t.co/fMIsSgPpTG Map: https://t.co/uEwGdkLedo,South Pacific Ocean,5VCQCHRX+62,"https://www.google.com/maps/place/21%C2%B033'34.2%22S+175%C2%B035'51.4%22E/@-21.5595,175.5976,359594m/data=!3m1!1e3!4m5!3m4!1s0x0:0x71e7f73514e21433!8m2!3d-21.5595!4d175.5976?hl=e",-21.5595, 175.5976,5.5
