,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-09-11 21:41:02+00:00,earthquakeBot," occurred 28.58mi NNW of Shimokizukuri, Japan. ","A 5.0 magnitude earthquake occurred 28.58mi NNW of Shimokizukuri, Japan. Details: https://t.co/eqlfEWK5Du Map: https://t.co/zyHLFaFR6n",Japan,"642X+P69 Nakadomari, Aomori, Japan","https://www.google.com/maps/place/41%C2%B012'06.5%22N+140%C2%B008'53.2%22E/@41.2018,140.1481,291369m/data=!3m1!1e3!4m5!3m4!1s0x0:0xc6a119a489831339!8m2!3d41.2018!4d140.1481?hl=e",41.2018, 140.1481,5.0
2,2022-09-11 09:28:02+00:00,earthquakeBot, occurred in Fiji region. ,A 5.5 magnitude earthquake occurred in Fiji region. Details: https://t.co/uC4iFP5hk0 Map: https://t.co/RR2y2P31bA,South Pacific Ocean,52F323F4+X5,"https://www.google.com/maps/place/20%C2%B058'30.4%22S+178%C2%B056'40.2%22W/@-20.9751,-178.9445,361594m/data=!3m1!1e3!4m5!3m4!1s0x0:0x63318fb49e851d9e!8m2!3d-20.9751!4d-178.9445?hl=e",-20.9751, -178.9445,5.5
5,2022-09-11 04:35:01+00:00,earthquakeBot," occurred in south of Java, Indonesia. ","A 5.4 magnitude earthquake occurred in south of Java, Indonesia. Details: https://t.co/Bbe6NfjwZm Map: https://t.co/vJxwNtNYho",Indian Ocean,5PWGWVF3+JC,"https://www.google.com/maps/place/11%C2%B004'33.2%22S+110%C2%B051'13.0%22E/@-11.0759,110.8536,380042m/data=!3m1!1e3!4m5!3m4!1s0x0:0x295a2ff4e5af7e6d!8m2!3d-11.0759!4d110.8536?hl=e",-11.0759, 110.8536,5.4
10,2022-09-11 01:03:01+00:00,earthquakeBot," occurred 33.55mi NNE of Kainantu, Papua New Guinea. ","A 5.0 magnitude earthquake occurred 33.55mi NNE of Kainantu, Papua New Guinea. Details: https://t.co/zyMuMwF5S7 Map: https://t.co/uZYLtVUjhh","Madang Province, Papua New Guinea","52P5+H29 Ongobu, Papua New Guinea","https://www.google.com/maps/place/5%C2%B048'49.0%22S+146%C2%B000'27.4%22E/@-5.8136,146.0076,385264m/data=!3m1!1e3!4m5!3m4!1s0x0:0x356500f5217051b8!8m2!3d-5.8136!4d146.0076?hl=e",-5.8136, 146.0076,5.0
14,2022-09-10 23:58:01+00:00,earthquakeBot," occurred 42.25mi NW of Lae, Papua New Guinea. ","A 7.7 magnitude earthquake occurred 42.25mi NW of Lae, Papua New Guinea. Details: https://t.co/0CwPoPjirr Map: https://t.co/sCktfMIHv6","Morobe Province, Papua New Guinea","JFGM+C62 Sirasira, Papua New Guinea","https://www.google.com/maps/place/6%C2%B022'26.4%22S+146%C2%B028'58.8%22E/@-6.374,146.483,384862m/data=!3m1!1e3!4m5!3m4!1s0x0:0xa300e258dc4da35b!8m2!3d-6.374!4d146.483?hl=e",-6.374, 146.483,7.7
15,2022-09-10 23:40:02+00:00,earthquakeBot," occurred 111.23mi WSW of Pariaman, Indonesia. ","A 5.7 magnitude earthquake occurred 111.23mi WSW of Pariaman, Indonesia. Details: https://t.co/jWIDh3EQdg Map: https://t.co/zoUL6O8z2S","Simalegi, West Siberut, Mentawai Islands Regency, West Sumatra, Indonesia","QJW9+VGM Simalegi, Mentawai Islands Regency, West Sumatra, Indonesia","https://www.google.com/maps/place/1%C2%B012'10.1%22S+98%C2%B037'07.7%22E/@-1.2028,98.6188,387170m/data=!3m1!1e3!4m5!3m4!1s0x0:0xd24a1e87f190751e!8m2!3d-1.2028!4d98.6188?hl=e",-1.2028, 98.6188,5.7
16,2022-09-10 23:30:01+00:00,earthquakeBot," occurred 108.74mi WSW of Pariaman, Indonesia. ","A 6.0 magnitude earthquake occurred 108.74mi WSW of Pariaman, Indonesia. Details: https://t.co/PcWc4t0BvL Map: https://t.co/H0qB7kuPFD","West Sumatra, Indonesia","VJGF+9H6 Simalegi, Mentawai Islands Regency, West Sumatra, Indonesia","https://www.google.com/maps/place/1%C2%B007'26.8%22S+98%C2%B037'26.0%22E/@-1.1241,98.6239,387181m/data=!3m1!1e3!4m5!3m4!1s0x0:0xb62c5501913fc45e!8m2!3d-1.1241!4d98.6239?hl=e",-1.1241, 98.6239,6.0
17,2022-09-10 11:39:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.4 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/cseNMCpjKe Map: https://t.co/4xeeHCI4LO,South Atlantic Ocean,39HP6P9G+HP,"https://www.google.com/maps/place/58%C2%B046'52.0%22S+25%C2%B016'23.5%22W/@-58.7811,-25.2732,401436m/data=!3m1!1e3!4m5!3m4!1s0x0:0x4f0b9c5421a06d73!8m2!3d-58.7811!4d-25.2732?hl=e",-58.7811, -25.2732,5.4
19,2022-09-10 00:24:01+00:00,earthquakeBot," occurred in Papua, Indonesia. ","A 5.9 magnitude earthquake occurred in Papua, Indonesia. Details: https://t.co/Vzz9UrGGNK Map: https://t.co/6Rglo7jHwr","Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","Q598+HR9 Burmeso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B013'52.0%22S+138%C2%B010'01.6%22E/@-2.2311,138.1671,386962m/data=!3m1!1e3!4m5!3m4!1s0x0:0xe00ce948a3e959b4!8m2!3d-2.2311!4d138.1671?hl=e",-2.2311, 138.1671,5.9
20,2022-09-09 23:58:01+00:00,earthquakeBot," occurred 164.04mi ESE of Biak, Indonesia. ","A 5.8 magnitude earthquake occurred 164.04mi ESE of Biak, Indonesia. Details: https://t.co/joeoDLzrFM Map: https://t.co/JQgQsbImxo","Anggreso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","P6V4+GV8 Anggreso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B015'22.3%22S+138%C2%B012'25.9%22E/@-2.2562,138.2072,386955m/data=!3m1!1e3!4m5!3m4!1s0x0:0xd85b77927b60bbe2!8m2!3d-2.2562!4d138.2072?hl=e",-2.2562, 138.2072,5.8
22,2022-09-09 23:46:01+00:00,earthquakeBot," occurred 162.8mi ESE of Biak, Indonesia. ","A 6.1 magnitude earthquake occurred 162.8mi ESE of Biak, Indonesia. Details: https://t.co/tdlzNC79Nt Map: https://t.co/UzmLrigxk2","Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","P5XQ+H2X Burmeso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B015'03.6%22S+138%C2%B011'15.4%22E/@-2.251,138.1876,386957m/data=!3m1!1e3!4m5!3m4!1s0x0:0xf04d7127b100525!8m2!3d-2.251!4d138.1876?hl=e",-2.251, 138.1876,6.1
23,2022-09-09 21:58:01+00:00,earthquakeBot, occurred in Banda Sea. ,A 5.1 magnitude earthquake occurred in Banda Sea. Details: https://t.co/1RElDzToao Map: https://t.co/JxAPDMDIkQ,Banda Sea,6Q5F2HW3+9Q,"https://www.google.com/maps/place/6%C2%B057'14.8%22S+129%C2%B033'15.8%22E/@-6.9541,129.5544,384407m/data=!3m1!1e3!4m5!3m4!1s0x0:0x6fe28261852404ea!8m2!3d-6.9541!4d129.5544?hl=e",-6.9541, 129.5544,5.1
24,2022-09-09 18:39:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.2 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/LGpKsLUlRq Map: https://t.co/Kk7e37fjgl,South Atlantic Ocean,39HPMFG5+V2,"https://www.google.com/maps/place/58%C2%B019'22.1%22S+25%C2%B032'33.0%22W/@-58.3228,-25.5425,406721m/data=!3m1!1e3!4m5!3m4!1s0x0:0x2459c556e7734839!8m2!3d-58.3228!4d-25.5425?hl=e",-58.3228, -25.5425,5.2
25,2022-09-09 17:40:02+00:00,earthquakeBot," occurred 98.8mi WNW of Tobelo, Indonesia. ","A 5.1 magnitude earthquake occurred 98.8mi WNW of Tobelo, Indonesia. Details: https://t.co/NaPKkc8dWn Map: https://t.co/Heahf14sFu",Molucca Sea,6QJ83J67+4X,"https://www.google.com/maps/place/2%C2%B003'37.1%22N+126%C2%B036'53.6%22E/@2.0603,126.6149,387005m/data=!3m1!1e3!4m5!3m4!1s0x0:0x94830b41f6123dda!8m2!3d2.0603!4d126.6149?hl=e",2.0603, 126.6149,5.1
27,2022-09-09 13:33:01+00:00,earthquakeBot," occurred 16.78mi SW of Tari, Papua New Guinea. ","A 5.2 magnitude earthquake occurred 16.78mi SW of Tari, Papua New Guinea. Details: https://t.co/F7eHxxGWeh Map: https://t.co/LO8fFeIIyL","Hela Province, Papua New Guinea","XQ8P+8FG Ekailoa, Papua New Guinea","https://www.google.com/maps/place/6%C2%B002'03.1%22S+142%C2%B047'10.3%22E/@-6.0342,142.7862,385110m/data=!3m1!1e3!4m5!3m4!1s0x0:0x7cca0d4058510898!8m2!3d-6.0342!4d142.7862?hl=e",-6.0342, 142.7862,5.2
28,2022-09-09 13:23:01+00:00,earthquakeBot, occurred in north of Ascension Island. ,A 5.1 magnitude earthquake occurred in north of Ascension Island. Details: https://t.co/OIdQPKV3Pr Map: https://t.co/j1sNvax8ux,South Atlantic Ocean,6C996VC6+RQ,"https://www.google.com/maps/place/2%C2%B046'40.4%22S+12%C2%B008'16.8%22W/@-2.7779,-12.138,386800m/data=!3m1!1e3!4m5!3m4!1s0x0:0x57d588e544118226!8m2!3d-2.7779!4d-12.138?hl=e",-2.7779, -12.138,5.1
29,2022-09-09 09:39:01+00:00,earthquakeBot," occurred 29.2mi SSE of Lospalos, Timor Leste. ","A 5.1 magnitude earthquake occurred 29.2mi SSE of Lospalos, Timor Leste. Details: https://t.co/U4qxTY9QOT Map: https://t.co/0rMxfno61P",Timor Sea,6Q39349M+9V,"https://www.google.com/maps/place/8%C2%B055'53.8%22S+127%C2%B008'04.9%22E/@-8.9316,127.1347,382560m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3f9901628da87da8!8m2!3d-8.9316!4d127.1347?hl=e",-8.9316, 127.1347,5.1
30,2022-09-09 09:31:01+00:00,earthquakeBot," occurred 88.23mi NNW of Okha, Russia. ","A 5.2 magnitude earthquake occurred 88.23mi NNW of Okha, Russia. Details: https://t.co/jhNzun7TfB Map: https://t.co/fculOv0fID",Охотское море,9R64RCPP+H4,"https://www.google.com/maps/place/54%C2%B050'11.0%22N+142%C2%B026'07.1%22E/@54.8364,142.4353,223025m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3fb34372585119c5!8m2!3d54.8364!4d142.4353?hl=e",54.8364, 142.4353,5.2
31,2022-09-08 22:24:02+00:00,earthquakeBot, occurred in near the coast of southern Peru. ,A 5.4 magnitude earthquake occurred in near the coast of southern Peru. Details: https://t.co/L6albKtdN7 Map: https://t.co/LpfsIC5jZ9,"Atico Disrict, 04475, Peru",57M8VH5V+7C,"https://www.google.com/maps/place/16%C2%B008'30.5%22S+73%C2%B024'23.0%22W/@-16.1418,-73.4064,371988m/data=!3m1!1e3!4m5!3m4!1s0x0:0xf1d2f14d9f6eb14b!8m2!3d-16.1418!4d-73.4064?hl=e",-16.1418, -73.4064,5.4
