,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-09-04 22:14:01+00:00,earthquakeBot," occurred in Hindu Kush region, Afghanistan. ","A 5.3 magnitude earthquake occurred in Hindu Kush region, Afghanistan. Details: https://t.co/FpJVfxFXV9 Map: https://t.co/uaaQS46Bdc","Nurgal, Afghanistan","MPGP+5Q2 Dipolak, Afghanistan","https://www.google.com/maps/place/34%C2%B040'31.4%22N+70%C2%B044'12.8%22E/@34.6754,70.7369,317972m/data=!3m1!1e3!4m5!3m4!1s0x0:0x5216c55b9c8bade5!8m2!3d34.6754!4d70.7369?hl=e",34.6754, 70.7369,5.3
2,2022-09-04 20:30:02+00:00,earthquakeBot," occurred in Loyalty Islands, New Caledonia. ","A 5.3 magnitude earthquake occurred in Loyalty Islands, New Caledonia. Details: https://t.co/1Y1l99QIb6 Map: https://t.co/bU3iMYFcFX",Coral Sea,5VCCQG2P+WM,"https://www.google.com/maps/place/21%C2%B014'51.7%22S+168%C2%B032'12.1%22E/@-21.2477,168.5367,360361m/data=!3m1!1e3!4m5!3m4!1s0x0:0x142bf79fb947b53e!8m2!3d-21.2477!4d168.5367?hl=e",-21.2477, 168.5367,5.3
3,2022-09-04 20:10:01+00:00,earthquakeBot," occurred in Izu Islands, Japan region. ","A 5.1 magnitude earthquake occurred in Izu Islands, Japan region. Details: https://t.co/IVQeCy9kkb Map: https://t.co/sVO4ZkH0U4",North Pacific Ocean,8R448CH7+F2,"https://www.google.com/maps/place/32%C2%B019'43.3%22N+142%C2%B024'45.0%22E/@32.3287,142.4125,326712m/data=!3m1!1e3!4m5!3m4!1s0x0:0x101021a309695034!8m2!3d32.3287!4d142.4125?hl=e",32.3287, 142.4125,5.1
4,2022-09-04 15:19:01+00:00,earthquakeBot," occurred in Izu Islands, Japan region. ","A 5.3 magnitude earthquake occurred in Izu Islands, Japan region. Details: https://t.co/2K1FiESnN6 Map: https://t.co/gyUJLEOvKe",North Pacific Ocean,8R449GP4+96,"https://www.google.com/maps/place/32%C2%B023'09.6%22N+142%C2%B030'20.2%22E/@32.386,142.5056,326505m/data=!3m1!1e3!4m5!3m4!1s0x0:0xf0410b08f7d53fa6!8m2!3d32.386!4d142.5056?hl=e",32.386, 142.5056,5.3
5,2022-09-04 10:05:02+00:00,earthquakeBot, occurred in central Mid-Atlantic Ridge. ,A 6.5 magnitude earthquake occurred in central Mid-Atlantic Ridge. Details: https://t.co/jZ0vbQaiGB Map: https://t.co/nsJGDQCIwO,South Atlantic Ocean,69FW377J+5C,"https://www.google.com/maps/place/0%C2%B056'13.6%22S+21%C2%B043'08.4%22W/@-0.9371,-21.719,386593m/data=!3m1!1e3!4m5!3m4!1s0x0:0x7a69389138776681!8m2!3d-0.9371!4d-21.719?hl=e",-0.9371, -21.719,6.5
6,2022-09-04 09:13:01+00:00,earthquakeBot," occurred 72.08mi SSW of Pagar Alam, Indonesia. ","A 5.1 magnitude earthquake occurred 72.08mi SSW of Pagar Alam, Indonesia. Details: https://t.co/zIQpxMsWWl Map: https://t.co/hfro5JZ4Cs",Indian Ocean,6P64XWF7+R2,"https://www.google.com/maps/place/5%C2%B001'31.4%22S+102%C2%B054'45.0%22E/@-5.0254,102.9125,385158m/data=!3m1!1e3!4m5!3m4!1s0x0:0x8c169a4c28bc63fe!8m2!3d-5.0254!4d102.9125?hl=e",-5.0254, 102.9125,5.1
8,2022-09-03 07:13:02+00:00,earthquakeBot," occurred 21.13mi W of Ciudad Cortés, Costa Rica. ","A 5.0 magnitude earthquake occurred 21.13mi W of Ciudad Cortés, Costa Rica. Details: https://t.co/u86ZKhWurj Map: https://t.co/LDXigBNuhJ",North Pacific Ocean,66WRX5V8+M7,"https://www.google.com/maps/place/8%C2%B059'39.1%22N+83%C2%B050'03.5%22W/@8.9942,-83.8343,381890m/data=!3m1!1e3!4m5!3m4!1s0x0:0xe1c578ff60b31a31!8m2!3d8.9942!4d-83.8343?hl=e",8.9942, -83.8343,5.0
9,2022-09-03 04:34:01+00:00,earthquakeBot," occurred 9.32mi SSE of Palekastro, Greece. ","A 5.3 magnitude earthquake occurred 9.32mi SSE of Palekastro, Greece. Details: https://t.co/Q4kXxnJCCe Map: https://t.co/h8fja0k8LS","Notio Kritiko Pelagos, Greece","389H+RG3 Itanos, Greece","https://www.google.com/maps/place/35%C2%B004'10.2%22N+26%C2%B019'43.7%22E/@35.0695,26.3288,316451m/data=!3m1!1e3!4m5!3m4!1s0x0:0xb84b07dab9dc712e!8m2!3d35.0695!4d26.3288?hl=e",35.0695, 26.3288,5.3
10,2022-09-03 04:05:02+00:00,earthquakeBot," occurred 82.64mi SE of Kuril’sk, Russia. ","A 5.1 magnitude earthquake occurred 82.64mi SE of Kuril’sk, Russia. Details: https://t.co/ojAi0yt67N Map: https://t.co/MJP6d8iSHG",Pacific Ocean,8RPC7WQG+XR,"https://www.google.com/maps/place/44%C2%B017'23.6%22N+148%C2%B055'37.6%22E/@44.2899,148.9271,276766m/data=!3m1!1e3!4m5!3m4!1s0x0:0xe4cba88cd81d5f37!8m2!3d44.2899!4d148.9271?hl=e",44.2899, 148.9271,5.1
11,2022-09-03 04:05:01+00:00,earthquakeBot," occurred 93.21mi SE of Kuril’sk, Russia. ","A 5.4 magnitude earthquake occurred 93.21mi SE of Kuril’sk, Russia. Details: https://t.co/DP4y3RZl42 Map: https://t.co/3gz8YIpn6L",Pacific Ocean,8RPF53JQ+RG,"https://www.google.com/maps/place/44%C2%B010'55.6%22N+149%C2%B005'19.7%22E/@44.1821,149.0888,277274m/data=!3m1!1e3!4m5!3m4!1s0x0:0x469e5fec4c90fd5d!8m2!3d44.1821!4d149.0888?hl=e",44.1821, 149.0888,5.4
12,2022-09-02 23:15:02+00:00,earthquakeBot," occurred 68.97mi WNW of Kandrian, Papua New Guinea. ","A 6.1 magnitude earthquake occurred 68.97mi WNW of Kandrian, Papua New Guinea. Details: https://t.co/QqWI15Ei0e Map: https://t.co/CFDDt0PcF1","West New Britain Province, Papua New Guinea",6R6C8PW3+C5,"https://www.google.com/maps/place/5%C2%B039'14.0%22S+148%C2%B042'10.4%22E/@-5.6539,148.7029,384764m/data=!3m1!1e3!4m5!3m4!1s0x0:0xcebbfb730539a595!8m2!3d-5.6539!4d148.7029?hl=e",-5.6539, 148.7029,6.1
13,2022-09-02 17:36:01+00:00,earthquakeBot," occurred 112.47mi NNW of Nuku‘alofa, Tonga. ","A 5.0 magnitude earthquake occurred 112.47mi NNW of Nuku‘alofa, Tonga. Details: https://t.co/kIQyr4b8p1 Map: https://t.co/Th1RmrfdNE",South Pacific Ocean,52G57WC8+RR,"https://www.google.com/maps/place/19%C2%B043'40.4%22S+176%C2%B004'58.4%22W/@-19.7279,-176.0829,363951m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3311129b3a0127c0!8m2!3d-19.7279!4d-176.0829?hl=e",-19.7279, -176.0829,5.0
14,2022-09-02 04:51:01+00:00,earthquakeBot," occurred 174.61mi WNW of Neiafu, Tonga. ","A 5.0 magnitude earthquake occurred 174.61mi WNW of Neiafu, Tonga. Details: https://t.co/ChNrW51V8k Map: https://t.co/pjYaAZR0A7",South Pacific Ocean,52J58HG4+74,"https://www.google.com/maps/place/17%C2%B040'27.5%22S+176%C2%B026'40.9%22W/@-17.6743,-176.4447,368394m/data=!3m1!1e3!4m5!3m4!1s0x0:0x98031fe239733de7!8m2!3d-17.6743!4d-176.4447?hl=e",-17.6743, -176.4447,5.0
