,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
2,2022-09-10 23:58:01+00:00,earthquakeBot," occurred 42.25mi NW of Lae, Papua New Guinea. ","A 7.7 magnitude earthquake occurred 42.25mi NW of Lae, Papua New Guinea. Details: https://t.co/0CwPoPjirr Map: https://t.co/sCktfMIHv6","Morobe Province, Papua New Guinea","JFGM+C62 Sirasira, Papua New Guinea","https://www.google.com/maps/place/6%C2%B022'26.4%22S+146%C2%B028'58.8%22E/@-6.374,146.483,384862m/data=!3m1!1e3!4m4!3m3!8m2!3d-6.374!4d146.483?hl=e",-6.374, 146.483,7.7
3,2022-09-10 23:40:02+00:00,earthquakeBot," occurred 111.23mi WSW of Pariaman, Indonesia. ","A 5.7 magnitude earthquake occurred 111.23mi WSW of Pariaman, Indonesia. Details: https://t.co/jWIDh3EQdg Map: https://t.co/zoUL6O8z2S","Simalegi, West Siberut, Mentawai Islands Regency, West Sumatra, Indonesia","QJW9+VGM Simalegi, Mentawai Islands Regency, West Sumatra, Indonesia","https://www.google.com/maps/place/1%C2%B012'10.1%22S+98%C2%B037'07.7%22E/@-1.2028,98.6188,387170m/data=!3m1!1e3!4m4!3m3!8m2!3d-1.2028!4d98.6188?hl=e",-1.2028, 98.6188,5.7
4,2022-09-10 23:30:01+00:00,earthquakeBot," occurred 108.74mi WSW of Pariaman, Indonesia. ","A 6.0 magnitude earthquake occurred 108.74mi WSW of Pariaman, Indonesia. Details: https://t.co/PcWc4t0BvL Map: https://t.co/H0qB7kuPFD","West Sumatra, Indonesia","VJGF+9H6 Simalegi, Mentawai Islands Regency, West Sumatra, Indonesia","https://www.google.com/maps/place/1%C2%B007'26.8%22S+98%C2%B037'26.0%22E/@-1.1241,98.6239,387181m/data=!3m1!1e3!4m4!3m3!8m2!3d-1.1241!4d98.6239?hl=e",-1.1241, 98.6239,6.0
5,2022-09-10 11:39:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.4 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/cseNMCpjKe Map: https://t.co/4xeeHCI4LO,South Atlantic Ocean,39HP6P9G+HP,"https://www.google.com/maps/place/58%C2%B046'52.0%22S+25%C2%B016'23.5%22W/@-58.7811,-25.2732,401436m/data=!3m1!1e3!4m4!3m3!8m2!3d-58.7811!4d-25.2732?hl=e",-58.7811, -25.2732,5.4
7,2022-09-10 00:24:01+00:00,earthquakeBot," occurred in Papua, Indonesia. ","A 5.9 magnitude earthquake occurred in Papua, Indonesia. Details: https://t.co/Vzz9UrGGNK Map: https://t.co/6Rglo7jHwr","Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","Q598+HR9 Burmeso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B013'52.0%22S+138%C2%B010'01.6%22E/@-2.2311,138.1671,386962m/data=!3m1!1e3!4m4!3m3!8m2!3d-2.2311!4d138.1671?hl=e",-2.2311, 138.1671,5.9
8,2022-09-09 23:58:01+00:00,earthquakeBot," occurred 164.04mi ESE of Biak, Indonesia. ","A 5.8 magnitude earthquake occurred 164.04mi ESE of Biak, Indonesia. Details: https://t.co/joeoDLzrFM Map: https://t.co/JQgQsbImxo","Anggreso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","P6V4+GV8 Anggreso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B015'22.3%22S+138%C2%B012'25.9%22E/@-2.2562,138.2072,386955m/data=!3m1!1e3!4m4!3m3!8m2!3d-2.2562!4d138.2072?hl=e",-2.2562, 138.2072,5.8
10,2022-09-09 23:46:01+00:00,earthquakeBot," occurred 162.8mi ESE of Biak, Indonesia. ","A 6.1 magnitude earthquake occurred 162.8mi ESE of Biak, Indonesia. Details: https://t.co/tdlzNC79Nt Map: https://t.co/UzmLrigxk2","Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia","P5XQ+H2X Burmeso, Mamberamo Raya Regency, Papua, Indonesia","https://www.google.com/maps/place/2%C2%B015'03.6%22S+138%C2%B011'15.4%22E/@-2.251,138.1876,386957m/data=!3m1!1e3!4m4!3m3!8m2!3d-2.251!4d138.1876?hl=e",-2.251, 138.1876,6.1
11,2022-09-09 21:58:01+00:00,earthquakeBot, occurred in Banda Sea. ,A 5.1 magnitude earthquake occurred in Banda Sea. Details: https://t.co/1RElDzToao Map: https://t.co/JxAPDMDIkQ,Banda Sea,6Q5F2HW3+9Q,"https://www.google.com/maps/place/6%C2%B057'14.8%22S+129%C2%B033'15.8%22E/@-6.9541,129.5544,384407m/data=!3m1!1e3!4m4!3m3!8m2!3d-6.9541!4d129.5544?hl=e",-6.9541, 129.5544,5.1
12,2022-09-09 18:39:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.2 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/LGpKsLUlRq Map: https://t.co/Kk7e37fjgl,South Atlantic Ocean,39HPMFG5+V2,"https://www.google.com/maps/place/58%C2%B019'22.1%22S+25%C2%B032'33.0%22W/@-58.3228,-25.5425,406721m/data=!3m1!1e3!4m4!3m3!8m2!3d-58.3228!4d-25.5425?hl=e",-58.3228, -25.5425,5.2
13,2022-09-09 17:40:02+00:00,earthquakeBot," occurred 98.8mi WNW of Tobelo, Indonesia. ","A 5.1 magnitude earthquake occurred 98.8mi WNW of Tobelo, Indonesia. Details: https://t.co/NaPKkc8dWn Map: https://t.co/Heahf14sFu",Molucca Sea,6QJ83J67+4X,"https://www.google.com/maps/place/2%C2%B003'37.1%22N+126%C2%B036'53.6%22E/@2.0603,126.6149,387005m/data=!3m1!1e3!4m4!3m3!8m2!3d2.0603!4d126.6149?hl=e",2.0603, 126.6149,5.1
