,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
1,2022-09-25 21:50:02+00:00,earthquakeBot," occurred 13.67mi NNW of Potrerillos, Honduras. ","A 5.1 magnitude earthquake occurred 13.67mi NNW of Potrerillos, Honduras. Details: https://t.co/C72Ej7oeNn Map: https://t.co/TtoNKBlnvw",Caribbean Sea,"RJHW+QPV San Francisco del Mar, Guatemala","https://www.google.com/maps/place/15%C2%B049'46.2%22N+88%C2%B021'11.5%22W/@15.8295,-88.3532,372570m/data=!3m1!1e3!4m5!3m4!1s0x0:0x8bec4d45cc9e90e4!8m2!3d15.8295!4d-88.3532?hl=e",15.8295, -88.3532,5.1
2,2022-09-25 15:44:02+00:00,earthquakeBot," occurred 36.04mi NNE of Bandar Abbas, Iran. ","A 5.0 magnitude earthquake occurred 36.04mi NNE of Bandar Abbas, Iran. Details: https://t.co/Gs2gOoCipA Map: https://t.co/Mo7jDPq8Hg","Hormozgan Province, Iran","MFQ5+469 درحنایی، Hormozgan Province, Iran","https://www.google.com/maps/place/27%C2%B041'16.1%22N+56%C2%B027'29.2%22E/@27.6878,56.4581,342912m/data=!3m1!1e3!4m5!3m4!1s0x0:0xceb4c4cfb4389a8c!8m2!3d27.6878!4d56.4581?hl=e",27.6878, 56.4581,5.0
3,2022-09-25 11:37:01+00:00,earthquakeBot," occurred 85.75mi SSE of Sarangani, Philippines. ","A 5.1 magnitude earthquake occurred 85.75mi SSE of Sarangani, Philippines. Details: https://t.co/Y2ETQC9N1d Map: https://t.co/Unb5DDDBX5",Philippine Sea,6QP884H5+R7,"https://www.google.com/maps/place/4%C2%B019'46.6%22N+126%C2%B006'29.5%22E/@4.3296,126.1082,386150m/data=!3m1!1e3!4m5!3m4!1s0x0:0x4f0240f5eeb285ac!8m2!3d4.3296!4d126.1082?hl=e",4.3296, 126.1082,5.1
4,2022-09-24 22:04:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.0 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/l3DYltzwA1 Map: https://t.co/vrNgGy42O2,South Atlantic Ocean,39GPX92G+CC,"https://www.google.com/maps/place/59%C2%B002'56.0%22S+25%C2%B037'26.0%22W/@-59.0489,-25.6239,398336m/data=!3m1!1e3!4m5!3m4!1s0x0:0xd13536fdf9196eb0!8m2!3d-59.0489!4d-25.6239?hl=e",-59.0489, -25.6239,5.0
6,2022-09-24 19:59:01+00:00,earthquakeBot, occurred in Vanuatu. ,A 5.0 magnitude earthquake occurred in Vanuatu. Details: https://t.co/rCpzRL55jb Map: https://t.co/XoYpoO0aHn,"Big Bay, Vanuatu","XX56+2GM Lavatavo, Vanuatu","https://www.google.com/maps/place/15%C2%B002'32.6%22S+166%C2%B057'40.7%22E/@-15.0424,166.9613,373986m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3f51f3f3b433a5fc!8m2!3d-15.0424!4d166.9613?hl=e",-15.0424, 166.9613,5.0
7,2022-09-24 17:39:01+00:00,earthquakeBot, occurred in Mauritius - Reunion region. ,A 5.0 magnitude earthquake occurred in Mauritius - Reunion region. Details: https://t.co/IYPh0ddR70 Map: https://t.co/2sA6qSKam5,Indian Ocean,5JF8WFW4+9X,"https://www.google.com/maps/place/20%C2%B003'14.4%22S+66%C2%B027'27.0%22E/@-20.054,66.4575,363776m/data=!3m1!1e3!4m5!3m4!1s0x0:0x8719087ade609a78!8m2!3d-20.054!4d66.4575?hl=e",-20.054, 66.4575,5.0
8,2022-09-23 23:08:01+00:00,earthquakeBot," occurred 96.93mi WNW of Ancud, Chile. ","A 6.1 magnitude earthquake occurred 96.93mi WNW of Ancud, Chile. Details: https://t.co/9hqkOtUklU Map: https://t.co/XPRO9glqbX",South Pacific Ocean,47C6JC99+W5,"https://www.google.com/maps/place/41%C2%B022'48.7%22S+75%C2%B034'55.2%22W/@-41.3802,-75.582,290573m/data=!3m1!1e3!4m5!3m4!1s0x0:0x32f757c7ecd3e39b!8m2!3d-41.3802!4d-75.582?hl=e",-41.3802, -75.582,6.1
10,2022-09-23 21:12:01+00:00,earthquakeBot, occurred in Banda Sea. ,A 5.2 magnitude earthquake occurred in Banda Sea. Details: https://t.co/KEaaxc83PN Map: https://t.co/xFELWl5su4,Banda Sea,6Q67VH8X+RC,"https://www.google.com/maps/place/5%C2%B007'58.4%22S+125%C2%B035'55.0%22E/@-5.1329,125.5986,385702m/data=!3m1!1e3!4m5!3m4!1s0x0:0xa29a8c48ec37e2cf!8m2!3d-5.1329!4d125.5986?hl=e",-5.1329, 125.5986,5.2
11,2022-09-23 21:08:01+00:00,earthquakeBot, occurred in off the west coast of northern Sumatra. ,A 6.2 magnitude earthquake occurred in off the west coast of northern Sumatra. Details: https://t.co/gk6ewZQeJt Map: https://t.co/sCu2t7l8Mz,Indian Ocean,6MMQRX5P+WV,"https://www.google.com/maps/place/3%C2%B048'35.3%22N+95%C2%B059'13.9%22E/@3.8098,95.9872,386400m/data=!3m1!1e3!4m5!3m4!1s0x0:0x7ec6ed7e49041dd0!8m2!3d3.8098!4d95.9872?hl=e",3.8098, 95.9872,6.2
12,2022-09-23 19:20:02+00:00,earthquakeBot, occurred in Fiji region. ,A 5.4 magnitude earthquake occurred in Fiji region. Details: https://t.co/0mWydLApHD Map: https://t.co/8jErXGw4IY,South Pacific Ocean,52C2JPCP+6J,"https://www.google.com/maps/place/21%C2%B022'45.8%22S+179%C2%B015'48.6%22W/@-21.3794,-179.2635,360607m/data=!3m1!1e3!4m5!3m4!1s0x0:0x3a110c65608fc88d!8m2!3d-21.3794!4d-179.2635?hl=e",-21.3794, -179.2635,5.4
