,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-09-11ID1,2022-09-11,21:41:02,Japan,Japan,41.2018,140.1481,5.0
1,2022-09-11ID2,2022-09-11,09:28:02,South Pacific Ocean,South Pacific Ocean,-20.9751,-178.9445,5.5
2,2022-09-11ID5,2022-09-11,04:35:01,Indian Ocean,Indian Ocean,-11.0759,110.8536,5.4
3,2022-09-11ID10,2022-09-11,01:03:01,"Madang Province, Papua New Guinea",Guinea,-5.8136,146.0076,5.0
4,2022-09-10ID14,2022-09-10,23:58:01,"Morobe Province, Papua New Guinea",Guinea,-6.374,146.483,7.7
5,2022-09-10ID15,2022-09-10,23:40:02,"Simalegi, West Siberut, Mentawai Islands Regency, West Sumatra, Indonesia",Indonesia,-1.2028,98.6188,5.7
6,2022-09-10ID16,2022-09-10,23:30:01,"West Sumatra, Indonesia",Indonesia,-1.1241,98.6239,6.0
7,2022-09-10ID17,2022-09-10,11:39:02,South Atlantic Ocean,South Atlantic Ocean,-58.7811,-25.2732,5.4
8,2022-09-10ID19,2022-09-10,00:24:01,"Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.2311,138.1671,5.9
9,2022-09-09ID20,2022-09-09,23:58:01,"Anggreso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.2562,138.2072,5.8
10,2022-09-09ID22,2022-09-09,23:46:01,"Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.251,138.1876,6.1
11,2022-09-09ID23,2022-09-09,21:58:01,Banda Sea,Banda Sea,-6.9541,129.5544,5.1
12,2022-09-09ID24,2022-09-09,18:39:02,South Atlantic Ocean,South Atlantic Ocean,-58.3228,-25.5425,5.2
13,2022-09-09ID25,2022-09-09,17:40:02,Molucca Sea,Molucca Sea,2.0603,126.6149,5.1
14,2022-09-09ID27,2022-09-09,13:33:01,"Hela Province, Papua New Guinea",Guinea,-6.0342,142.7862,5.2
15,2022-09-09ID28,2022-09-09,13:23:01,South Atlantic Ocean,South Atlantic Ocean,-2.7779,-12.138,5.1
16,2022-09-09ID29,2022-09-09,09:39:01,Timor Sea,Timor Sea,-8.9316,127.1347,5.1
17,2022-09-09ID30,2022-09-09,09:31:01,Охотское море,море,54.8364,142.4353,5.2
18,2022-09-08ID31,2022-09-08,22:24:02,"Atico Disrict, 04475, Peru",Peru,-16.1418,-73.4064,5.4
19,2022-09-08ID32,2022-09-08,15:26:01,South Pacific Ocean,South Pacific Ocean,-25.2582,179.7024,5.4
20,2022-09-08ID33,2022-09-08,08:22:02,Indian Ocean,Indian Ocean,1.3481,96.8662,5.1
21,2022-09-08ID34,2022-09-08,07:57:01,Ionian Sea,Ionian Sea,37.8979,20.0523,5.5
22,2022-09-08ID35,2022-09-08,07:41:01,South Pacific Ocean,South Pacific Ocean,-16.2733,-172.8348,5.3
23,2022-09-08ID36,2022-09-08,04:25:02,Greenland Sea,Greenland Sea,66.5068,-17.7916,5.1
24,2022-09-07ID37,2022-09-07,23:24:01,South Atlantic Ocean,South Atlantic Ocean,-57.2521,-24.0332,5.0
25,2022-09-07ID38,2022-09-07,18:42:01,Molucca Sea,Molucca Sea,0.0146,123.7983,5.1
26,2022-09-07ID39,2022-09-07,18:30:01,Indian Ocean,Indian Ocean,-3.2097,101.4723,5.7
27,2022-09-07ID40,2022-09-07,06:30:01,South Pacific Ocean,South Pacific Ocean,-54.375,-119.3785,5.5
28,2022-09-06ID41,2022-09-06,13:35:01,"Sierra Gorda, Antofagasta, Chile",Chile,-23.0996,-68.9442,5.0
29,2022-09-06ID42,2022-09-06,12:33:01,South Atlantic Ocean,South Atlantic Ocean,-56.4916,-25.6996,5.7
30,2022-09-06ID43,2022-09-06,09:25:01,South Atlantic Ocean,South Atlantic Ocean,-56.6037,-25.9649,5.3
31,2022-09-06ID44,2022-09-06,08:57:01,South Atlantic Ocean,South Atlantic Ocean,-56.5801,-25.7813,6.0
32,2022-09-06ID45,2022-09-06,07:52:02,"Estero Real Natural Reserve, Nicaragua",Nicaragua,12.947,-87.3655,5.2
33,2022-09-05ID46,2022-09-05,14:07:02,North Atlantic Ocean,North Atlantic Ocean,52.1328,-30.1223,5.0
34,2022-09-05ID47,2022-09-05,11:42:02,South Pacific Ocean,South Pacific Ocean,-31.8339,-179.1773,5.3
35,2022-09-05ID48,2022-09-05,09:32:01,"Hormozgan Province, Iran",Iran,27.6306,56.0608,5.4
36,2022-09-05ID50,2022-09-05,08:19:01,South Pacific Ocean,South Pacific Ocean,-33.4824,-72.2761,5.0
37,2022-09-05ID51,2022-09-05,05:12:02,"Luding County, Garzê Tibetan Autonomous Prefecture, Sichuan, China",China,29.7263,102.279,6.6
38,2022-09-05ID52,2022-09-05,00:26:01,South Pacific Ocean,South Pacific Ocean,-56.0067,-124.5405,6.1
