,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-11-12ID1,2022-11-12,15:05:01,South Pacific Ocean,South Pacific Ocean,-18.5842,-172.341,5.0
1,2022-11-12ID2,2022-11-12,14:46:01,"Sanphebagar, 10700, Nepal",Nepal,29.3433,81.1803,5.3
2,2022-11-12ID3,2022-11-12,13:38:01,Indian Ocean,Indian Ocean,-8.0276,107.4458,5.2
3,2022-11-12ID4,2022-11-12,11:05:01,North Pacific Ocean,North Pacific Ocean,2.2182,129.268,5.0
4,2022-11-12ID5,2022-11-12,07:47:01,South Pacific Ocean,South Pacific Ocean,-20.0613,-178.4259,5.1
5,2022-11-12ID6,2022-11-12,07:17:01,South Pacific Ocean,South Pacific Ocean,-20.214,-178.191,6.7
6,2022-11-12ID7,2022-11-12,04:58:01,"Torremolinos, El Astillero, Guatemala",Guatemala,14.1232,-90.787,5.8
7,2022-11-11ID10,2022-11-11,17:53:02,Philippine Sea,Philippine Sea,25.0585,128.8656,5.3
8,2022-11-11ID11,2022-11-11,15:22:01,South Atlantic Ocean,South Atlantic Ocean,-15.5941,-13.2375,5.0
9,2022-11-11ID12,2022-11-11,14:50:02,South Atlantic Ocean,South Atlantic Ocean,-15.566,-13.3203,5.3
10,2022-11-11ID13,2022-11-11,12:50:01,"Tarauacá - State of Acre, Brazil",Brazil,-8.6335,-71.4124,5.0
11,2022-11-11ID14,2022-11-11,12:19:01,South Pacific Ocean,South Pacific Ocean,-17.7623,-172.036,5.1
12,2022-11-11ID15,2022-11-11,11:55:01,Indian Ocean,Indian Ocean,-3.8025,100.5394,5.0
13,2022-11-10ID17,2022-11-10,10:45:02,Vanuatu,Vanuatu,-14.8135,166.7802,5.2
14,2022-11-10ID19,2022-11-10,05:21:01,Arunachal West,West,28.411,94.3666,5.4
15,2022-11-09ID20,2022-11-09,18:09:01,South Pacific Ocean,South Pacific Ocean,-26.065,178.4116,5.1
16,2022-11-09ID21,2022-11-09,10:27:02,South Pacific Ocean,South Pacific Ocean,-25.637,178.419,6.5
17,2022-11-09ID23,2022-11-09,10:02:01,South Pacific Ocean,South Pacific Ocean,-26.099,178.607,7.0
18,2022-11-09ID24,2022-11-09,09:47:02,South Pacific Ocean,South Pacific Ocean,-26.037,178.579,6.7
19,2022-11-09ID25,2022-11-09,09:02:01,"Tsukuriya, Tsukuba, Ibaraki 300-4204, Japan",Japan,36.1738,140.033,5.0
20,2022-11-09ID26,2022-11-09,08:26:02,"961, Taiwan, Taitung County, Chenggong Township, 信義里",信義里,23.0201,121.308,5.0
21,2022-11-09ID27,2022-11-09,06:27:01,Mediterranean Sea,Mediterranean Sea,43.9297,13.3098,5.6
22,2022-11-09ID28,2022-11-09,01:41:01,South America,America,-4.2204,-80.5016,5.1
23,2022-11-08ID29,2022-11-08,20:48:01,"Sanphebagar, 10700, Nepal",Nepal,29.2965,81.1606,5.6
24,2022-11-08ID32,2022-11-08,14:50:01,"Tikiw, San Antonio, Nueva Ecija, Philippines",Philippines,15.3119,120.8611,5.3
25,2022-11-08ID33,2022-11-08,11:55:01,North Atlantic Ocean,North Atlantic Ocean,21.7125,-76.489,5.0
26,2022-11-08ID34,2022-11-08,09:04:01,"San Bernardo, Santiago Metropolitan Region, Chile",Chile,-33.6914,-70.774,5.0
27,2022-11-08ID35,2022-11-08,01:45:01,Coral Sea,Coral Sea,-19.1002,167.6758,5.2
28,2022-11-07ID38,2022-11-07,11:16:01,Pacific Ocean,Pacific Ocean,52.2722,159.5548,5.0
29,2022-11-07ID39,2022-11-07,07:42:01,Pacific Ocean,Pacific Ocean,52.1282,159.5899,5.0
30,2022-11-07ID40,2022-11-07,05:53:01,South China Sea,South China Sea,19.0307,121.1919,5.2
31,2022-11-07ID41,2022-11-07,03:45:01,"Baharak, Afghanistan",Afghanistan,37.0186,71.146,5.4
32,2022-11-06ID43,2022-11-06,19:23:01,South Atlantic Ocean,South Atlantic Ocean,-60.6288,-25.2553,5.1
33,2022-11-06ID44,2022-11-06,10:07:02,North Pacific Ocean,North Pacific Ocean,51.423,-175.969,5.1
34,2022-11-06ID45,2022-11-06,07:29:01,"Chucatamani, 23240, Peru",Peru,-17.5604,-70.2091,5.0
35,2022-11-06ID46,2022-11-06,04:45:01,North Pacific Ocean,North Pacific Ocean,43.1934,146.8916,5.2
36,2022-11-06ID47,2022-11-06,04:09:02,South Atlantic Ocean,South Atlantic Ocean,-17.7175,-13.0681,5.2
37,2022-11-06ID48,2022-11-06,00:22:01,Celebes Sea,Celebes Sea,2.5301,124.6567,5.6
