,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-09-10ID2,2022-09-10,23:58:01,"Morobe Province, Papua New Guinea",Guinea,-6.374,146.483,7.7
1,2022-09-10ID3,2022-09-10,23:40:02,"Simalegi, West Siberut, Mentawai Islands Regency, West Sumatra, Indonesia",Indonesia,-1.2028,98.6188,5.7
2,2022-09-10ID4,2022-09-10,23:30:01,"West Sumatra, Indonesia",Indonesia,-1.1241,98.6239,6.0
3,2022-09-10ID5,2022-09-10,11:39:02,South Atlantic Ocean,South Atlantic Ocean,-58.7811,-25.2732,5.4
4,2022-09-10ID7,2022-09-10,00:24:01,"Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.2311,138.1671,5.9
5,2022-09-09ID8,2022-09-09,23:58:01,"Anggreso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.2562,138.2072,5.8
6,2022-09-09ID10,2022-09-09,23:46:01,"Burmeso, Mamberamo Tengah, Mamberamo Raya Regency, Papua, Indonesia",Indonesia,-2.251,138.1876,6.1
7,2022-09-09ID11,2022-09-09,21:58:01,Banda Sea,Banda Sea,-6.9541,129.5544,5.1
8,2022-09-09ID12,2022-09-09,18:39:02,South Atlantic Ocean,South Atlantic Ocean,-58.3228,-25.5425,5.2
9,2022-09-09ID13,2022-09-09,17:40:02,Molucca Sea,Molucca Sea,2.0603,126.6149,5.1
10,2022-09-09ID15,2022-09-09,13:33:01,"Hela Province, Papua New Guinea",Guinea,-6.0342,142.7862,5.2
11,2022-09-09ID16,2022-09-09,13:23:01,South Atlantic Ocean,South Atlantic Ocean,-2.7779,-12.138,5.1
12,2022-09-09ID17,2022-09-09,09:39:01,Timor Sea,Timor Sea,-8.9316,127.1347,5.1
13,2022-09-09ID18,2022-09-09,09:31:01,Охотское море,море,54.8364,142.4353,5.2
14,2022-09-08ID19,2022-09-08,22:24:02,"Atico Disrict, 04475, Peru",Peru,-16.1418,-73.4064,5.4
15,2022-09-08ID20,2022-09-08,15:26:01,South Pacific Ocean,South Pacific Ocean,-25.2582,179.7024,5.4
16,2022-09-08ID21,2022-09-08,08:22:02,Indian Ocean,Indian Ocean,1.3481,96.8662,5.1
17,2022-09-08ID22,2022-09-08,07:57:01,Ionian Sea,Ionian Sea,37.8979,20.0523,5.5
18,2022-09-08ID23,2022-09-08,07:41:01,South Pacific Ocean,South Pacific Ocean,-16.2733,-172.8348,5.3
19,2022-09-08ID24,2022-09-08,04:25:02,Greenland Sea,Greenland Sea,66.5068,-17.7916,5.1
20,2022-09-07ID25,2022-09-07,23:24:01,South Atlantic Ocean,South Atlantic Ocean,-57.2521,-24.0332,5.0
21,2022-09-07ID26,2022-09-07,18:42:01,Molucca Sea,Molucca Sea,0.0146,123.7983,5.1
22,2022-09-07ID27,2022-09-07,18:30:01,Indian Ocean,Indian Ocean,-3.2097,101.4723,5.7
23,2022-09-07ID28,2022-09-07,06:30:01,South Pacific Ocean,South Pacific Ocean,-54.375,-119.3785,5.5
24,2022-09-06ID29,2022-09-06,13:35:01,"Sierra Gorda, Antofagasta, Chile",Chile,-23.0996,-68.9442,5.0
25,2022-09-06ID30,2022-09-06,12:33:01,South Atlantic Ocean,South Atlantic Ocean,-56.4916,-25.6996,5.7
26,2022-09-06ID31,2022-09-06,09:25:01,South Atlantic Ocean,South Atlantic Ocean,-56.6037,-25.9649,5.3
27,2022-09-06ID32,2022-09-06,08:57:01,South Atlantic Ocean,South Atlantic Ocean,-56.5801,-25.7813,6.0
28,2022-09-06ID33,2022-09-06,07:52:02,"Estero Real Natural Reserve, Nicaragua",Nicaragua,12.947,-87.3655,5.2
29,2022-09-05ID34,2022-09-05,14:07:02,North Atlantic Ocean,North Atlantic Ocean,52.1328,-30.1223,5.0
30,2022-09-05ID35,2022-09-05,11:42:02,South Pacific Ocean,South Pacific Ocean,-31.8339,-179.1773,5.3
31,2022-09-05ID36,2022-09-05,09:32:01,"Hormozgan Province, Iran",Iran,27.6306,56.0608,5.4
32,2022-09-05ID38,2022-09-05,08:19:01,South Pacific Ocean,South Pacific Ocean,-33.4824,-72.2761,5.0
33,2022-09-05ID39,2022-09-05,05:12:02,"Luding County, Garzê Tibetan Autonomous Prefecture, Sichuan, China",China,29.7263,102.279,6.6
34,2022-09-05ID40,2022-09-05,00:26:01,South Pacific Ocean,South Pacific Ocean,-56.0067,-124.5405,6.1
35,2022-09-04ID41,2022-09-04,22:14:01,"Nurgal, Afghanistan",Afghanistan,34.6754,70.7369,5.3
36,2022-09-04ID42,2022-09-04,20:30:02,Coral Sea,Coral Sea,-21.2477,168.5367,5.3
37,2022-09-04ID43,2022-09-04,20:10:01,North Pacific Ocean,North Pacific Ocean,32.3287,142.4125,5.1
38,2022-09-04ID44,2022-09-04,15:19:01,North Pacific Ocean,North Pacific Ocean,32.386,142.5056,5.3
39,2022-09-04ID45,2022-09-04,10:05:02,South Atlantic Ocean,South Atlantic Ocean,-0.9371,-21.719,6.5
40,2022-09-04ID46,2022-09-04,09:13:01,Indian Ocean,Indian Ocean,-5.0254,102.9125,5.1
