,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-10-23ID1,2022-10-23,15:29:01,"Pishan County, Hotan Prefecture, Xinjiang, China",China,37.5988,77.8238,5.0
1,2022-10-23ID2,2022-10-23,02:34:01,Philippine Sea,Philippine Sea,2.7607,128.5728,5.1
2,2022-10-23ID3,2022-10-23,02:23:02,"Calama, Antofagasta, Chile",Chile,-21.9627,-68.7486,5.1
3,2022-10-23ID4,2022-10-23,00:12:01,"Vitiaz Strait, Papua New Guinea",Guinea,-5.7964,147.0126,5.1
4,2022-10-22ID5,2022-10-22,22:01:01,South Pacific Ocean,South Pacific Ocean,-17.1623,-172.5981,5.0
5,2022-10-22ID6,2022-10-22,19:58:01,Solomon Sea,Solomon Sea,-6.1386,148.118,5.0
6,2022-10-22ID7,2022-10-22,12:30:01,Sea of Okhotsk,Okhotsk,46.4381,149.8789,5.0
7,2022-10-22ID8,2022-10-22,05:37:01,"Luding County, Garzê Tibetan Autonomous Prefecture, Sichuan, China",China,29.6307,102.0769,5.3
8,2022-10-21ID9,2022-10-21,09:39:01,Tonga,Tonga,-19.9683,-174.7,5.2
9,2022-10-21ID10,2022-10-21,02:42:01,Indian Ocean,Indian Ocean,-31.0998,58.7547,5.0
10,2022-10-20ID14,2022-10-20,12:07:02,North Pacific Ocean,North Pacific Ocean,7.725,-82.342,6.9
11,2022-10-20ID15,2022-10-20,07:12:01,Andaman Sea,Andaman Sea,11.5674,93.2197,5.1
12,2022-10-20ID16,2022-10-20,05:27:02,South Pacific Ocean,South Pacific Ocean,-29.0168,-176.5489,5.2
13,2022-10-19ID17,2022-10-19,15:23:02,South Atlantic Ocean,South Atlantic Ocean,-7.6894,-13.6216,5.6
14,2022-10-19ID18,2022-10-19,14:57:01,South Atlantic Ocean,South Atlantic Ocean,-60.1557,-23.2197,5.1
15,2022-10-19ID19,2022-10-19,08:26:01,"Elbebe, Sultan Kudarat, Philippines",Philippines,6.7305,125.1321,5.4
16,2022-10-19ID20,2022-10-19,06:16:01,North Pacific Ocean,North Pacific Ocean,39.6645,143.3708,5.2
17,2022-10-19ID21,2022-10-19,04:55:01,"Mangya, Haixi Mongol and Tibetan Autonomous Prefecture, Qinghai, China",China,37.7402,92.2593,5.5
18,2022-10-19ID22,2022-10-19,04:37:01,"Daeo, Morotai Selatan, Morotai Island Regency, North Maluku, Indonesia",Indonesia,2.1196,128.4345,5.1
19,2022-10-18ID23,2022-10-18,12:07:01,Banda Sea,Banda Sea,-4.3466,125.3684,5.0
20,2022-10-18ID24,2022-10-18,07:50:02,"Ovalle, Coquimbo, Chile",Chile,-30.6845,-71.491,5.0
21,2022-10-17ID25,2022-10-17,13:52:01,"Putre, Arica y Parinacota, Chile",Chile,-18.4203,-69.379,5.2
22,2022-10-17ID26,2022-10-17,13:41:01,South China Sea,South China Sea,21.4133,121.2141,5.1
23,2022-10-17ID27,2022-10-17,13:32:02,Molucca Sea,Molucca Sea,0.0168,123.4641,5.0
24,2022-10-17ID28,2022-10-17,08:35:01,"Bula, East Seram, Maluku, Indonesia",Indonesia,-3.1374,130.5232,5.1
