,id,lat,long,country,geom_data
0,2022-10-23ID1,37.5988,77.8238,中国,"37.5988,77.8238"
1,2022-10-23ID2,2.7607,128.5728,Indonesia,"2.7607,128.5728"
2,2022-10-23ID3,-21.9627,-68.7486,Chile,"-21.9627,-68.7486"
3,2022-10-23ID4,-5.7964,147.0126,Papua Niugini,"-5.7964,147.0126"
4,2022-10-22ID5,-17.1623,-172.5981,South Pacific Ocean,"-17.1623,-172.5981"
5,2022-10-22ID6,-6.1386,148.118,Papua Niugini,"-6.1386,148.118"
6,2022-10-22ID7,46.4381,149.8789,Okhotsk,"46.4381,149.8789"
7,2022-10-22ID8,29.6307,102.0769,中国,"29.6307,102.0769"
8,2022-10-21ID9,-19.9683,-174.7,Tonga,"-19.9683,-174.7"
9,2022-10-21ID10,-31.0998,58.7547,Indian Ocean,"-31.0998,58.7547"
10,2022-10-20ID14,7.725,-82.342,Panamá,"7.725,-82.342"
11,2022-10-20ID15,11.5674,93.2197,Andaman Sea,"11.5674,93.2197"
12,2022-10-20ID16,-29.0168,-176.5489,South Pacific Ocean,"-29.0168,-176.5489"
13,2022-10-19ID17,-7.6894,-13.6216,South Atlantic Ocean,"-7.6894,-13.6216"
14,2022-10-19ID18,-60.1557,-23.2197,South Atlantic Ocean,"-60.1557,-23.2197"
15,2022-10-19ID19,6.7305,125.1321,Philippines,"6.7305,125.1321"
16,2022-10-19ID20,39.6645,143.3708,North Pacific Ocean,"39.6645,143.3708"
17,2022-10-19ID21,37.7402,92.2593,中国,"37.7402,92.2593"
18,2022-10-19ID22,2.1196,128.4345,Indonesia,"2.1196,128.4345"
19,2022-10-18ID23,-4.3466,125.3684,Indonesia,"-4.3466,125.3684"
20,2022-10-18ID24,-30.6845,-71.491,Chile,"-30.6845,-71.491"
21,2022-10-17ID25,-18.4203,-69.379,Chile,"-18.4203,-69.379"
22,2022-10-17ID26,21.4133,121.2141,South China Sea,"21.4133,121.2141"
23,2022-10-17ID27,0.0168,123.4641,Indonesia,"0.0168,123.4641"
24,2022-10-17ID28,-3.1374,130.5232,Indonesia,"-3.1374,130.5232"
