,id,lat,long,country,geom_data
0,2022-08-22ID3,-9.0889,115.5827,Indian Ocean,"-9.0889,115.5827"
1,2022-08-22ID4,-0.9625,-24.6462,South Atlantic Ocean,"-0.9625,-24.6462"
2,2022-08-22ID6,25.2069,123.5946,East China Sea,"25.2069,123.5946"
3,2022-08-21ID8,60.6106,-28.6769,North Atlantic Ocean,"60.6106,-28.6769"
4,2022-08-19ID11,-57.9983,-25.7068,South Atlantic Ocean,"-57.9983,-25.7068"
5,2022-08-19ID14,-20.5094,-11.7191,South Atlantic Ocean,"-20.5094,-11.7191"
6,2022-08-19ID15,-56.1713,-27.3639,South Georgia and the South Sandwich Islands,"-56.1713,-27.3639"
7,2022-08-19ID17,-20.4496,-11.7901,South Atlantic Ocean,"-20.4496,-11.7901"
8,2022-08-18ID19,-20.2238,-12.4116,South Atlantic Ocean,"-20.2238,-12.4116"
9,2022-08-18ID21,-22.2898,171.6659,South Pacific Ocean,"-22.2898,171.6659"
10,2022-08-18ID24,0.3403,124.3752,Indonesia,"0.3403,124.3752"
11,2022-08-18ID25,37.6284,141.6741,North Pacific Ocean,"37.6284,141.6741"
12,2022-08-18ID27,-34.3475,-70.5794,Chile,"-34.3475,-70.5794"
13,2022-08-17ID30,-7.0096,125.4748,Indonesia,"-7.0096,125.4748"
14,2022-08-17ID31,33.1659,141.6785,North Pacific Ocean,"33.1659,141.6785"
15,2022-08-17ID33,56.066,-155.957,North Pacific Ocean,"56.066,-155.957"
16,2022-08-16ID35,-5.9323,146.6275,Papua Niugini,"-5.9323,146.6275"
17,2022-08-16ID40,44.3002,149.5379,Pacific Ocean,"44.3002,149.5379"
18,2022-08-16ID41,44.3657,149.5,Pacific Ocean,"44.3657,149.5"
19,2022-08-16ID42,-22.4001,170.3261,South Pacific Ocean,"-22.4001,170.3261"
20,2022-08-16ID43,-54.8013,158.5708,Australia,"-54.8013,158.5708"
