,id,lat,long,country,geom_data
0,2022-08-27ID2,17.3314,120.7572,Philippines,"17.3314,120.7572"
1,2022-08-26ID4,-14.4944,167.2935,Vanuatu,"-14.4944,167.2935"
2,2022-08-25ID7,-4.7074,101.7568,Indonesia,"-4.7074,101.7568"
3,2022-08-24ID9,47.8584,153.7172,Pacific Ocean,"47.8584,153.7172"
4,2022-08-24ID12,-19.9047,168.7535,Coral Sea,"-19.9047,168.7535"
5,2022-08-24ID14,-21.9825,-68.4982,Chile,"-21.9825,-68.4982"
6,2022-08-23ID16,-6.2871,103.6729,Indian Ocean,"-6.2871,103.6729"
7,2022-08-23ID19,-62.1751,161.4247,South Pacific Ocean,"-62.1751,161.4247"
8,2022-08-23ID21,-20.8281,-173.4103,South Pacific Ocean,"-20.8281,-173.4103"
9,2022-08-23ID23,-5.0755,103.1012,Indonesia,"-5.0755,103.1012"
10,2022-08-23ID25,-5.3913,131.3951,Indonesia,"-5.3913,131.3951"
11,2022-08-23ID28,-62.5512,-158.9885,South Pacific Ocean,"-62.5512,-158.9885"
12,2022-08-23ID29,-62.7179,-158.7608,South Pacific Ocean,"-62.7179,-158.7608"
13,2022-08-22ID32,-9.0889,115.5827,Indian Ocean,"-9.0889,115.5827"
14,2022-08-22ID33,-0.9625,-24.6462,South Atlantic Ocean,"-0.9625,-24.6462"
15,2022-08-22ID35,25.2069,123.5946,East China Sea,"25.2069,123.5946"
16,2022-08-21ID37,60.6106,-28.6769,North Atlantic Ocean,"60.6106,-28.6769"
