,id,lat,long,country,geom_data
0,2022-09-18ID2,26.232,126.0445,East China Sea,"26.232,126.0445"
1,2022-09-18ID3,-10.8151,164.2384,Coral Sea,"-10.8151,164.2384"
2,2022-09-18ID4,23.1987,121.2979,臺灣,"23.1987,121.2979"
3,2022-09-18ID6,23.0634,121.2995,臺灣,"23.0634,121.2995"
4,2022-09-18ID7,26.3351,126.0564,East China Sea,"26.3351,126.0564"
5,2022-09-18ID8,26.2527,126.0142,East China Sea,"26.2527,126.0142"
6,2022-09-18ID9,23.0785,121.2325,臺灣,"23.0785,121.2325"
7,2022-09-18ID13,23.0886,121.315,臺灣,"23.0886,121.315"
8,2022-09-18ID14,23.111,121.255,臺灣,"23.111,121.255"
9,2022-09-18ID15,23.1286,121.2723,臺灣,"23.1286,121.2723"
10,2022-09-17ID16,22.9716,121.2155,臺灣,"22.9716,121.2155"
11,2022-09-17ID17,23.0891,121.2412,臺灣,"23.0891,121.2412"
12,2022-09-17ID19,-20.1807,-69.1546,Chile,"-20.1807,-69.1546"
13,2022-09-17ID20,23.0,121.2,臺灣,"23.0,121.2"
14,2022-09-17ID21,-7.265,105.0794,Indian Ocean,"-7.265,105.0794"
15,2022-09-17ID22,-52.7327,25.7117,Indian Ocean,"-52.7327,25.7117"
16,2022-09-17ID23,-30.089,-177.9186,South Pacific Ocean,"-30.089,-177.9186"
17,2022-09-17ID24,-22.3617,170.7824,South Pacific Ocean,"-22.3617,170.7824"
18,2022-09-16ID25,-5.4389,148.1699,Papua Niugini,"-5.4389,148.1699"
19,2022-09-16ID26,11.8598,141.1943,Philippine Sea,"11.8598,141.1943"
20,2022-09-15ID28,35.9433,77.7578,中国,"35.9433,77.7578"
21,2022-09-15ID29,52.11,179.827,United States,"52.11,179.827"
22,2022-09-15ID30,-12.5416,166.5552,Coral Sea,"-12.5416,166.5552"
23,2022-09-14ID35,-21.196,170.139,South Pacific Ocean,"-21.196,170.139"
24,2022-09-14ID36,12.55,-87.8124,North Pacific Ocean,"12.55,-87.8124"
25,2022-09-14ID38,-16.915,-168.778,South Pacific Ocean,"-16.915,-168.778"
26,2022-09-14ID40,12.0144,143.5474,North Pacific Ocean,"12.0144,143.5474"
27,2022-09-13ID43,-56.5379,-25.5161,South Atlantic Ocean,"-56.5379,-25.5161"
28,2022-09-13ID44,7.2247,-82.2868,North Pacific Ocean,"7.2247,-82.2868"
29,2022-09-13ID45,-20.426,-11.7252,South Atlantic Ocean,"-20.426,-11.7252"
30,2022-09-13ID46,-22.9185,-178.4881,South Pacific Ocean,"-22.9185,-178.4881"
31,2022-09-13ID47,-58.5736,-16.072,South Atlantic Ocean,"-58.5736,-16.072"
32,2022-09-12ID48,-6.2795,146.3035,Papua Niugini,"-6.2795,146.3035"
33,2022-09-12ID49,6.1766,127.5713,Philippine Sea,"6.1766,127.5713"
34,2022-09-12ID50,41.9783,145.0056,North Pacific Ocean,"41.9783,145.0056"
