,id,lat,long,country,geom_data
0,2022-10-30ID1,1.8867,99.5494,Indonesia,"1.8867,99.5494"
1,2022-10-30ID2,-16.8886,-172.7911,South Pacific Ocean,"-16.8886,-172.7911"
2,2022-10-29ID4,-14.4791,-76.203,Perú,"-14.4791,-76.203"
3,2022-10-29ID5,-16.2786,166.7589,Coral Sea,"-16.2786,166.7589"
4,2022-10-29ID6,-7.0321,150.0059,Solomon Sea,"-7.0321,150.0059"
5,2022-10-29ID7,-10.9727,162.3479,Solomon Islands,"-10.9727,162.3479"
6,2022-10-29ID10,-15.2927,-172.8129,South Pacific Ocean,"-15.2927,-172.8129"
7,2022-10-29ID11,-19.1005,-66.9198,Bolivia,"-19.1005,-66.9198"
8,2022-10-29ID12,-14.5344,-76.1944,Perú,"-14.5344,-76.1944"
9,2022-10-28ID13,-14.5323,-76.2307,Perú,"-14.5323,-76.2307"
10,2022-10-28ID14,-14.516,-76.14,Perú,"-14.516,-76.14"
11,2022-10-28ID16,-14.537,-76.1571,Perú,"-14.537,-76.1571"
12,2022-10-28ID17,-20.3871,-177.739,South Pacific Ocean,"-20.3871,-177.739"
13,2022-10-28ID18,-35.8117,-179.1308,South Pacific Ocean,"-35.8117,-179.1308"
14,2022-10-27ID19,-3.4056,145.4166,Papua Niugini,"-3.4056,145.4166"
15,2022-10-27ID20,41.9242,144.885,North Pacific Ocean,"41.9242,144.885"
16,2022-10-27ID21,46.628,152.6513,Pacific Ocean,"46.628,152.6513"
17,2022-10-27ID22,16.6537,-98.8189,México,"16.6537,-98.8189"
18,2022-10-27ID23,-59.8592,-25.435,South Atlantic Ocean,"-59.8592,-25.435"
19,2022-10-26ID24,11.9281,57.8955,Arabian Sea,"11.9281,57.8955"
20,2022-10-26ID26,54.818,-160.102,United States,"54.818,-160.102"
21,2022-10-26ID27,-24.0942,-66.9953,Argentina,"-24.0942,-66.9953"
22,2022-10-26ID28,41.9473,144.7483,North Pacific Ocean,"41.9473,144.7483"
23,2022-10-25ID29,-16.8501,-173.386,South Pacific Ocean,"-16.8501,-173.386"
24,2022-10-25ID32,37.3105011,-121.6774979,United States,"37.3105011,-121.6774979"
25,2022-10-25ID35,17.884,120.624,Philippines,"17.884,120.624"
26,2022-10-25ID36,8.1905,126.5533,Philippines,"8.1905,126.5533"
27,2022-10-25ID38,-58.7186,-26.1532,South Atlantic Ocean,"-58.7186,-26.1532"
28,2022-10-24ID39,18.7487,146.4138,North Pacific Ocean,"18.7487,146.4138"
29,2022-10-24ID40,-10.4544,161.4022,Solomon Islands,"-10.4544,161.4022"
30,2022-10-24ID41,11.093,125.8693,Philippines,"11.093,125.8693"
31,2022-10-24ID42,-15.478,-173.134,South Pacific Ocean,"-15.478,-173.134"
32,2022-10-24ID43,-7.4829,-76.2725,Perú,"-7.4829,-76.2725"
33,2022-10-24ID44,7.0465,125.4369,Philippines,"7.0465,125.4369"
