,id,lat,long,country,geom_data
0,2022-08-23ID2,-6.2871,103.6729,Indian Ocean,"-6.2871,103.6729"
1,2022-08-23ID5,-62.1751,161.4247,South Pacific Ocean,"-62.1751,161.4247"
2,2022-08-23ID7,-20.8281,-173.4103,South Pacific Ocean,"-20.8281,-173.4103"
3,2022-08-23ID9,-5.0755,103.1012,Indonesia,"-5.0755,103.1012"
4,2022-08-23ID11,-5.3913,131.3951,Indonesia,"-5.3913,131.3951"
5,2022-08-23ID14,-62.5512,-158.9885,South Pacific Ocean,"-62.5512,-158.9885"
6,2022-08-23ID15,-62.7179,-158.7608,South Pacific Ocean,"-62.7179,-158.7608"
7,2022-08-22ID18,-9.0889,115.5827,Indian Ocean,"-9.0889,115.5827"
8,2022-08-22ID19,-0.9625,-24.6462,South Atlantic Ocean,"-0.9625,-24.6462"
9,2022-08-22ID21,25.2069,123.5946,East China Sea,"25.2069,123.5946"
10,2022-08-21ID23,60.6106,-28.6769,North Atlantic Ocean,"60.6106,-28.6769"
11,2022-08-19ID26,-57.9983,-25.7068,South Atlantic Ocean,"-57.9983,-25.7068"
12,2022-08-19ID29,-20.5094,-11.7191,South Atlantic Ocean,"-20.5094,-11.7191"
13,2022-08-19ID30,-56.1713,-27.3639,South Georgia and the South Sandwich Islands,"-56.1713,-27.3639"
14,2022-08-19ID32,-20.4496,-11.7901,South Atlantic Ocean,"-20.4496,-11.7901"
15,2022-08-18ID34,-20.2238,-12.4116,South Atlantic Ocean,"-20.2238,-12.4116"
16,2022-08-18ID36,-22.2898,171.6659,South Pacific Ocean,"-22.2898,171.6659"
17,2022-08-18ID39,0.3403,124.3752,Indonesia,"0.3403,124.3752"
18,2022-08-18ID40,37.6284,141.6741,North Pacific Ocean,"37.6284,141.6741"
19,2022-08-18ID42,-34.3475,-70.5794,Chile,"-34.3475,-70.5794"
20,2022-08-17ID45,-7.0096,125.4748,Indonesia,"-7.0096,125.4748"
21,2022-08-17ID46,33.1659,141.6785,North Pacific Ocean,"33.1659,141.6785"
22,2022-08-17ID48,56.066,-155.957,North Pacific Ocean,"56.066,-155.957"
