,id,lat,long,country,geom_data
0,2022-08-19ID2,-57.9983,-25.7068,South Atlantic Ocean,"-57.9983,-25.7068"
1,2022-08-19ID5,-20.5094,-11.7191,South Atlantic Ocean,"-20.5094,-11.7191"
2,2022-08-19ID6,-56.1713,-27.3639,South Georgia and the South Sandwich Islands,"-56.1713,-27.3639"
3,2022-08-19ID8,-20.4496,-11.7901,South Atlantic Ocean,"-20.4496,-11.7901"
4,2022-08-18ID10,-20.2238,-12.4116,South Atlantic Ocean,"-20.2238,-12.4116"
5,2022-08-18ID12,-22.2898,171.6659,South Pacific Ocean,"-22.2898,171.6659"
6,2022-08-18ID15,0.3403,124.3752,Indonesia,"0.3403,124.3752"
7,2022-08-18ID16,37.6284,141.6741,North Pacific Ocean,"37.6284,141.6741"
8,2022-08-18ID18,-34.3475,-70.5794,Chile,"-34.3475,-70.5794"
9,2022-08-17ID21,-7.0096,125.4748,Indonesia,"-7.0096,125.4748"
10,2022-08-17ID22,33.1659,141.6785,North Pacific Ocean,"33.1659,141.6785"
11,2022-08-17ID24,56.066,-155.957,North Pacific Ocean,"56.066,-155.957"
12,2022-08-16ID26,-5.9323,146.6275,Papua Niugini,"-5.9323,146.6275"
13,2022-08-16ID31,44.3002,149.5379,Pacific Ocean,"44.3002,149.5379"
14,2022-08-16ID32,44.3657,149.5,Pacific Ocean,"44.3657,149.5"
15,2022-08-16ID33,-22.4001,170.3261,South Pacific Ocean,"-22.4001,170.3261"
16,2022-08-16ID34,-54.8013,158.5708,Australia,"-54.8013,158.5708"
17,2022-08-15ID36,-7.1058,-12.8951,South Atlantic Ocean,"-7.1058,-12.8951"
18,2022-08-15ID39,38.4817,99.1373,中国,"38.4817,99.1373"
19,2022-08-15ID40,6.6378,125.0013,Philippines,"6.6378,125.0013"
20,2022-08-15ID42,-5.9927,147.3494,Papua Niugini,"-5.9927,147.3494"
21,2022-08-14ID44,-22.0641,170.9274,South Pacific Ocean,"-22.0641,170.9274"
22,2022-08-14ID46,51.837,178.1519,United States,"51.837,178.1519"
23,2022-08-14ID49,-32.919,-178.004,South Pacific Ocean,"-32.919,-178.004"
24,2022-08-14ID52,-52.8982,22.1729,Indian Ocean,"-52.8982,22.1729"
25,2022-08-14ID54,37.9837,27.1478,Türkiye,"37.9837,27.1478"
26,2022-08-14ID56,-15.7976,167.0591,Vanuatu,"-15.7976,167.0591"
27,2022-08-14ID58,1.8151,126.3654,Indonesia,"1.8151,126.3654"
