,id,lat,long,country,geom_data
0,2022-11-06ID2,-60.6288,-25.2553,South Atlantic Ocean,"-60.6288,-25.2553"
1,2022-11-06ID3,51.423,-175.969,North Pacific Ocean,"51.423,-175.969"
2,2022-11-06ID4,-17.5604,-70.2091,Perú,"-17.5604,-70.2091"
3,2022-11-06ID5,43.1934,146.8916,North Pacific Ocean,"43.1934,146.8916"
4,2022-11-06ID6,-17.7175,-13.0681,South Atlantic Ocean,"-17.7175,-13.0681"
5,2022-11-06ID7,2.5301,124.6567,Celebes Sea,"2.5301,124.6567"
6,2022-11-05ID8,-9.7936,154.9417,Solomon Sea,"-9.7936,154.9417"
7,2022-11-05ID9,3.6158,126.8929,Indonesia,"3.6158,126.8929"
8,2022-11-05ID10,-9.7629,159.4379,Solomon Islands,"-9.7629,159.4379"
9,2022-11-05ID11,4.1017,126.2786,Indonesia,"4.1017,126.2786"
10,2022-11-05ID12,-21.0915,-177.6333,South Pacific Ocean,"-21.0915,-177.6333"
11,2022-11-04ID13,-20.1655,-70.7769,South Pacific Ocean,"-20.1655,-70.7769"
12,2022-11-04ID15,28.142,-112.3013,California,"28.142,-112.3013"
13,2022-11-04ID16,-20.9605,-178.7072,Viti,"-20.9605,-178.7072"
14,2022-11-04ID17,13.1868,-89.5773,North Pacific Ocean,"13.1868,-89.5773"
15,2022-11-04ID18,2.0322,127.114,Indonesia,"2.0322,127.114"
16,2022-11-03ID19,-41.0033,-16.6635,South Atlantic Ocean,"-41.0033,-16.6635"
17,2022-11-03ID20,53.7902,-35.5159,North Atlantic Ocean,"53.7902,-35.5159"
18,2022-11-03ID21,-6.5363,130.4966,Indonesia,"-6.5363,130.4966"
19,2022-11-03ID23,45.5337,26.4713,România,"45.5337,26.4713"
20,2022-11-02ID25,-60.7877,-25.7347,South Atlantic Ocean,"-60.7877,-25.7347"
21,2022-11-02ID26,19.5964,121.7086,,"19.5964,121.7086"
22,2022-11-02ID27,31.4245,-133.3012,North Pacific Ocean,"31.4245,-133.3012"
23,2022-11-02ID28,-22.3399,-68.8952,Chile,"-22.3399,-68.8952"
24,2022-11-02ID29,41.971,145.0536,North Pacific Ocean,"41.971,145.0536"
25,2022-11-01ID30,12.4288,-89.1147,North Pacific Ocean,"12.4288,-89.1147"
26,2022-11-01ID31,24.7696,122.6285,East China Sea,"24.7696,122.6285"
27,2022-10-31ID32,39.8989,15.6365,Italia,"39.8989,15.6365"
28,2022-10-31ID33,-58.975,-25.8188,South Atlantic Ocean,"-58.975,-25.8188"
29,2022-10-31ID34,-14.0782,-75.9495,Perú,"-14.0782,-75.9495"
30,2022-10-31ID35,-2.3874,-76.1935,Perú,"-2.3874,-76.1935"
31,2022-10-31ID36,-38.7565,-91.8537,South Pacific Ocean,"-38.7565,-91.8537"
32,2022-10-31ID37,-7.439,107.0654,Indonesia,"-7.439,107.0654"
