,id,lat,long,country,geom_data
0,2022-10-09ID1,-16.5096,178.0096,Viti,"-16.5096,178.0096"
1,2022-10-09ID2,-3.8946,142.8881,Papua Niugini,"-3.8946,142.8881"
2,2022-10-09ID4,-1.4013,-23.8746,South Atlantic Ocean,"-1.4013,-23.8746"
3,2022-10-08ID5,38.3402,22.5492,Ελλάς,"38.3402,22.5492"
4,2022-10-08ID6,-54.25,-132.8995,South Pacific Ocean,"-54.25,-132.8995"
5,2022-10-07ID9,-14.926,-172.543,South Pacific Ocean,"-14.926,-172.543"
6,2022-10-07ID10,-16.1613,-174.5865,South Pacific Ocean,"-16.1613,-174.5865"
7,2022-10-06ID12,-47.2179,-12.0812,South Atlantic Ocean,"-47.2179,-12.0812"
8,2022-10-06ID13,27.6203,126.9115,East China Sea,"27.6203,126.9115"
9,2022-10-06ID14,-55.9933,-28.1084,South Atlantic Ocean,"-55.9933,-28.1084"
10,2022-10-06ID15,-58.7375,-25.2707,South Atlantic Ocean,"-58.7375,-25.2707"
11,2022-10-05ID16,-58.6985,-25.1038,South Atlantic Ocean,"-58.6985,-25.1038"
12,2022-10-05ID17,-58.6754,-25.2007,South Atlantic Ocean,"-58.6754,-25.2007"
13,2022-10-05ID18,-4.912,-80.5599,Perú,"-4.912,-80.5599"
14,2022-10-05ID19,38.5227,45.0813,ایران,"38.5227,45.0813"
15,2022-10-04ID20,-7.6776,130.1255,Indonesia,"-7.6776,130.1255"
16,2022-10-04ID21,-22.2666,-68.8067,Chile,"-22.2666,-68.8067"
17,2022-10-03ID22,53.7886,-35.5095,North Atlantic Ocean,"53.7886,-35.5095"
18,2022-10-03ID25,9.901,126.0103,Philippines,"9.901,126.0103"
19,2022-10-03ID26,-56.4002,-26.0345,South Atlantic Ocean,"-56.4002,-26.0345"
