,id,date,time,magnitude
0,2022-09-10ID2,2022-09-10,23:58:01,7.7
1,2022-09-10ID3,2022-09-10,23:40:02,5.7
2,2022-09-10ID4,2022-09-10,23:30:01,6.0
3,2022-09-10ID5,2022-09-10,11:39:02,5.4
4,2022-09-10ID7,2022-09-10,00:24:01,5.9
5,2022-09-09ID8,2022-09-09,23:58:01,5.8
6,2022-09-09ID10,2022-09-09,23:46:01,6.1
7,2022-09-09ID11,2022-09-09,21:58:01,5.1
8,2022-09-09ID12,2022-09-09,18:39:02,5.2
9,2022-09-09ID13,2022-09-09,17:40:02,5.1
10,2022-09-09ID15,2022-09-09,13:33:01,5.2
11,2022-09-09ID16,2022-09-09,13:23:01,5.1
12,2022-09-09ID17,2022-09-09,09:39:01,5.1
13,2022-09-09ID18,2022-09-09,09:31:01,5.2
14,2022-09-08ID19,2022-09-08,22:24:02,5.4
15,2022-09-08ID20,2022-09-08,15:26:01,5.4
16,2022-09-08ID21,2022-09-08,08:22:02,5.1
17,2022-09-08ID22,2022-09-08,07:57:01,5.5
18,2022-09-08ID23,2022-09-08,07:41:01,5.3
19,2022-09-08ID24,2022-09-08,04:25:02,5.1
20,2022-09-07ID25,2022-09-07,23:24:01,5.0
21,2022-09-07ID26,2022-09-07,18:42:01,5.1
22,2022-09-07ID27,2022-09-07,18:30:01,5.7
23,2022-09-07ID28,2022-09-07,06:30:01,5.5
24,2022-09-06ID29,2022-09-06,13:35:01,5.0
25,2022-09-06ID30,2022-09-06,12:33:01,5.7
26,2022-09-06ID31,2022-09-06,09:25:01,5.3
27,2022-09-06ID32,2022-09-06,08:57:01,6.0
28,2022-09-06ID33,2022-09-06,07:52:02,5.2
29,2022-09-05ID34,2022-09-05,14:07:02,5.0
30,2022-09-05ID35,2022-09-05,11:42:02,5.3
31,2022-09-05ID36,2022-09-05,09:32:01,5.4
32,2022-09-05ID38,2022-09-05,08:19:01,5.0
33,2022-09-05ID39,2022-09-05,05:12:02,6.6
34,2022-09-05ID40,2022-09-05,00:26:01,6.1
35,2022-09-04ID41,2022-09-04,22:14:01,5.3
36,2022-09-04ID42,2022-09-04,20:30:02,5.3
37,2022-09-04ID43,2022-09-04,20:10:01,5.1
38,2022-09-04ID44,2022-09-04,15:19:01,5.3
39,2022-09-04ID45,2022-09-04,10:05:02,6.5
40,2022-09-04ID46,2022-09-04,09:13:01,5.1
