,id,date,time,magnitude
0,2022-10-22ID1,2022-10-22,22:01:01,5.0
1,2022-10-22ID2,2022-10-22,19:58:01,5.0
2,2022-10-22ID3,2022-10-22,12:30:01,5.0
3,2022-10-22ID4,2022-10-22,05:37:01,5.3
4,2022-10-21ID5,2022-10-21,09:39:01,5.2
5,2022-10-21ID6,2022-10-21,02:42:01,5.0
6,2022-10-20ID10,2022-10-20,12:07:02,6.9
7,2022-10-20ID11,2022-10-20,07:12:01,5.1
8,2022-10-20ID12,2022-10-20,05:27:02,5.2
9,2022-10-19ID13,2022-10-19,15:23:02,5.6
10,2022-10-19ID14,2022-10-19,14:57:01,5.1
11,2022-10-19ID15,2022-10-19,08:26:01,5.4
12,2022-10-19ID16,2022-10-19,06:16:01,5.2
13,2022-10-19ID17,2022-10-19,04:55:01,5.5
14,2022-10-19ID18,2022-10-19,04:37:01,5.1
15,2022-10-18ID19,2022-10-18,12:07:01,5.0
16,2022-10-18ID20,2022-10-18,07:50:02,5.0
17,2022-10-17ID21,2022-10-17,13:52:01,5.2
18,2022-10-17ID22,2022-10-17,13:41:01,5.1
19,2022-10-17ID23,2022-10-17,13:32:02,5.0
20,2022-10-17ID24,2022-10-17,08:35:01,5.1
21,2022-10-16ID25,2022-10-16,12:59:01,6.7
