,id,date,time,magnitude
0,2022-10-16ID1,2022-10-16,12:59:01,6.7
1,2022-10-15ID2,2022-10-15,19:35:01,5.0
2,2022-10-15ID3,2022-10-15,18:46:01,5.1
3,2022-10-15ID4,2022-10-15,03:00:01,5.2
4,2022-10-15ID5,2022-10-15,01:35:01,5.1
5,2022-10-15ID6,2022-10-15,00:33:02,5.2
6,2022-10-14ID7,2022-10-14,21:31:01,5.2
7,2022-10-14ID8,2022-10-14,20:30:01,5.1
8,2022-10-14ID9,2022-10-14,19:29:01,5.0
9,2022-10-14ID10,2022-10-14,19:12:01,5.0
10,2022-10-14ID11,2022-10-14,10:25:02,5.5
11,2022-10-14ID12,2022-10-14,02:32:01,5.0
12,2022-10-13ID13,2022-10-13,22:40:02,6.4
13,2022-10-13ID14,2022-10-13,14:20:01,5.1
14,2022-10-13ID15,2022-10-13,06:44:02,5.0
15,2022-10-12ID17,2022-10-12,13:35:01,5.0
16,2022-10-12ID18,2022-10-12,09:25:01,5.1
17,2022-10-11ID19,2022-10-11,16:19:01,5.0
18,2022-10-11ID20,2022-10-11,14:10:01,5.3
19,2022-10-11ID21,2022-10-11,13:12:01,5.2
20,2022-10-11ID22,2022-10-11,11:25:01,5.2
21,2022-10-10ID23,2022-10-10,23:43:01,5.1
22,2022-10-10ID24,2022-10-10,19:45:02,5.7
23,2022-10-10ID25,2022-10-10,18:11:01,5.5
24,2022-10-10ID26,2022-10-10,16:29:01,5.0
