,id,date,time,magnitude
0,2022-10-30ID1,2022-10-30,22:37:01,5.2
1,2022-10-30ID2,2022-10-30,18:45:01,5.3
2,2022-10-29ID4,2022-10-29,21:05:01,5.1
3,2022-10-29ID5,2022-10-29,20:55:01,5.5
4,2022-10-29ID6,2022-10-29,19:30:01,5.2
5,2022-10-29ID7,2022-10-29,19:12:01,5.0
6,2022-10-29ID10,2022-10-29,17:45:01,5.1
7,2022-10-29ID11,2022-10-29,12:00:01,5.1
8,2022-10-29ID12,2022-10-29,00:28:01,5.8
9,2022-10-28ID13,2022-10-28,23:52:01,5.2
10,2022-10-28ID14,2022-10-28,23:11:01,5.3
11,2022-10-28ID16,2022-10-28,20:43:01,5.9
12,2022-10-28ID17,2022-10-28,20:41:01,5.0
13,2022-10-28ID18,2022-10-28,04:19:02,5.4
14,2022-10-27ID19,2022-10-27,16:13:01,5.2
15,2022-10-27ID20,2022-10-27,13:40:01,5.0
16,2022-10-27ID21,2022-10-27,10:29:01,5.2
17,2022-10-27ID22,2022-10-27,09:07:02,5.0
18,2022-10-27ID23,2022-10-27,02:01:01,5.4
19,2022-10-26ID24,2022-10-26,23:17:01,5.1
20,2022-10-26ID26,2022-10-26,09:37:01,5.0
21,2022-10-26ID27,2022-10-26,08:07:02,5.1
22,2022-10-26ID28,2022-10-26,07:23:01,5.2
23,2022-10-25ID29,2022-10-25,21:30:03,5.1
24,2022-10-25ID32,2022-10-25,18:46:01,5.0
25,2022-10-25ID35,2022-10-25,15:08:02,6.8
26,2022-10-25ID36,2022-10-25,13:41:01,5.1
27,2022-10-25ID38,2022-10-25,00:33:01,6.3
28,2022-10-24ID39,2022-10-24,17:16:01,5.3
29,2022-10-24ID40,2022-10-24,15:39:01,5.1
30,2022-10-24ID41,2022-10-24,15:29:02,5.4
31,2022-10-24ID42,2022-10-24,08:07:01,5.9
32,2022-10-24ID43,2022-10-24,05:26:01,5.0
33,2022-10-24ID44,2022-10-24,02:31:02,5.3
