,id,date,time,magnitude
0,2022-10-08ID1,2022-10-08,22:20:02,5.2
1,2022-10-08ID2,2022-10-08,15:10:01,5.3
2,2022-10-07ID5,2022-10-07,09:36:02,5.8
3,2022-10-07ID6,2022-10-07,08:21:01,5.0
4,2022-10-06ID8,2022-10-06,19:49:02,5.1
5,2022-10-06ID9,2022-10-06,16:57:01,5.3
6,2022-10-06ID10,2022-10-06,04:08:02,5.3
7,2022-10-06ID11,2022-10-06,02:19:01,5.0
8,2022-10-05ID12,2022-10-05,18:35:01,5.1
9,2022-10-05ID13,2022-10-05,16:53:01,5.3
10,2022-10-05ID14,2022-10-05,08:44:01,5.8
11,2022-10-05ID15,2022-10-05,00:41:01,5.7
12,2022-10-04ID16,2022-10-04,22:34:01,5.1
13,2022-10-04ID17,2022-10-04,13:30:01,5.0
14,2022-10-03ID18,2022-10-03,18:23:01,5.2
15,2022-10-03ID21,2022-10-03,08:40:01,5.0
16,2022-10-03ID22,2022-10-03,07:21:02,5.5
17,2022-10-02ID23,2022-10-02,19:51:01,5.5
18,2022-10-02ID24,2022-10-02,18:53:01,5.4
19,2022-10-02ID25,2022-10-02,13:26:01,5.7
20,2022-10-02ID26,2022-10-02,07:53:02,5.5
21,2022-10-02ID27,2022-10-02,02:33:02,5.6
22,2022-10-02ID28,2022-10-02,02:01:02,5.0
