,id,date,time,magnitude
0,2022-10-15ID1,2022-10-15,19:35:01,5.0
1,2022-10-15ID2,2022-10-15,18:46:01,5.1
2,2022-10-15ID3,2022-10-15,03:00:01,5.2
3,2022-10-15ID4,2022-10-15,01:35:01,5.1
4,2022-10-15ID5,2022-10-15,00:33:02,5.2
5,2022-10-14ID6,2022-10-14,21:31:01,5.2
6,2022-10-14ID7,2022-10-14,20:30:01,5.1
7,2022-10-14ID8,2022-10-14,19:29:01,5.0
8,2022-10-14ID9,2022-10-14,19:12:01,5.0
9,2022-10-14ID10,2022-10-14,10:25:02,5.5
10,2022-10-14ID11,2022-10-14,02:32:01,5.0
11,2022-10-13ID12,2022-10-13,22:40:02,6.4
12,2022-10-13ID13,2022-10-13,14:20:01,5.1
13,2022-10-13ID14,2022-10-13,06:44:02,5.0
14,2022-10-12ID16,2022-10-12,13:35:01,5.0
15,2022-10-12ID17,2022-10-12,09:25:01,5.1
16,2022-10-11ID18,2022-10-11,16:19:01,5.0
17,2022-10-11ID19,2022-10-11,14:10:01,5.3
18,2022-10-11ID20,2022-10-11,13:12:01,5.2
19,2022-10-11ID21,2022-10-11,11:25:01,5.2
20,2022-10-10ID22,2022-10-10,23:43:01,5.1
21,2022-10-10ID23,2022-10-10,19:45:02,5.7
22,2022-10-10ID24,2022-10-10,18:11:01,5.5
23,2022-10-10ID25,2022-10-10,16:29:01,5.0
24,2022-10-09ID26,2022-10-09,23:18:02,5.0
25,2022-10-09ID27,2022-10-09,21:32:01,5.4
26,2022-10-09ID29,2022-10-09,17:01:01,6.2
