,id,date,time,magnitude
0,2022-09-11ID1,2022-09-11,21:41:02,5.0
1,2022-09-11ID2,2022-09-11,09:28:02,5.5
2,2022-09-11ID5,2022-09-11,04:35:01,5.4
3,2022-09-11ID10,2022-09-11,01:03:01,5.0
4,2022-09-10ID14,2022-09-10,23:58:01,7.7
5,2022-09-10ID15,2022-09-10,23:40:02,5.7
6,2022-09-10ID16,2022-09-10,23:30:01,6.0
7,2022-09-10ID17,2022-09-10,11:39:02,5.4
8,2022-09-10ID19,2022-09-10,00:24:01,5.9
9,2022-09-09ID20,2022-09-09,23:58:01,5.8
10,2022-09-09ID22,2022-09-09,23:46:01,6.1
11,2022-09-09ID23,2022-09-09,21:58:01,5.1
12,2022-09-09ID24,2022-09-09,18:39:02,5.2
13,2022-09-09ID25,2022-09-09,17:40:02,5.1
14,2022-09-09ID27,2022-09-09,13:33:01,5.2
15,2022-09-09ID28,2022-09-09,13:23:01,5.1
16,2022-09-09ID29,2022-09-09,09:39:01,5.1
17,2022-09-09ID30,2022-09-09,09:31:01,5.2
18,2022-09-08ID31,2022-09-08,22:24:02,5.4
19,2022-09-08ID32,2022-09-08,15:26:01,5.4
20,2022-09-08ID33,2022-09-08,08:22:02,5.1
21,2022-09-08ID34,2022-09-08,07:57:01,5.5
22,2022-09-08ID35,2022-09-08,07:41:01,5.3
23,2022-09-08ID36,2022-09-08,04:25:02,5.1
24,2022-09-07ID37,2022-09-07,23:24:01,5.0
25,2022-09-07ID38,2022-09-07,18:42:01,5.1
26,2022-09-07ID39,2022-09-07,18:30:01,5.7
27,2022-09-07ID40,2022-09-07,06:30:01,5.5
28,2022-09-06ID41,2022-09-06,13:35:01,5.0
29,2022-09-06ID42,2022-09-06,12:33:01,5.7
30,2022-09-06ID43,2022-09-06,09:25:01,5.3
31,2022-09-06ID44,2022-09-06,08:57:01,6.0
32,2022-09-06ID45,2022-09-06,07:52:02,5.2
33,2022-09-05ID46,2022-09-05,14:07:02,5.0
34,2022-09-05ID47,2022-09-05,11:42:02,5.3
35,2022-09-05ID48,2022-09-05,09:32:01,5.4
36,2022-09-05ID50,2022-09-05,08:19:01,5.0
37,2022-09-05ID51,2022-09-05,05:12:02,6.6
38,2022-09-05ID52,2022-09-05,00:26:01,6.1
