,id,date,time,magnitude
0,2022-11-06ID2,2022-11-06,19:23:01,5.1
1,2022-11-06ID3,2022-11-06,10:07:02,5.1
2,2022-11-06ID4,2022-11-06,07:29:01,5.0
3,2022-11-06ID5,2022-11-06,04:45:01,5.2
4,2022-11-06ID6,2022-11-06,04:09:02,5.2
5,2022-11-06ID7,2022-11-06,00:22:01,5.6
6,2022-11-05ID8,2022-11-05,19:15:01,5.1
7,2022-11-05ID9,2022-11-05,15:51:01,5.1
8,2022-11-05ID10,2022-11-05,08:48:01,5.3
9,2022-11-05ID11,2022-11-05,08:00:01,5.0
10,2022-11-05ID12,2022-11-05,00:33:01,5.2
11,2022-11-04ID13,2022-11-04,14:59:01,5.0
12,2022-11-04ID15,2022-11-04,10:25:01,6.2
13,2022-11-04ID16,2022-11-04,07:52:01,5.1
14,2022-11-04ID17,2022-11-04,04:47:01,5.7
15,2022-11-04ID18,2022-11-04,03:17:01,5.0
16,2022-11-03ID19,2022-11-03,21:16:01,5.0
17,2022-11-03ID20,2022-11-03,21:14:01,5.4
18,2022-11-03ID21,2022-11-03,19:06:02,5.3
19,2022-11-03ID23,2022-11-03,05:05:01,5.1
20,2022-11-02ID25,2022-11-02,14:38:01,5.7
21,2022-11-02ID26,2022-11-02,13:42:01,5.0
22,2022-11-02ID27,2022-11-02,05:13:01,6.0
23,2022-11-02ID28,2022-11-02,02:55:01,5.3
24,2022-11-02ID29,2022-11-02,00:05:01,5.1
25,2022-11-01ID30,2022-11-01,13:56:01,5.0
26,2022-11-01ID31,2022-11-01,08:51:01,5.4
27,2022-10-31ID32,2022-10-31,22:01:02,5.5
28,2022-10-31ID33,2022-10-31,14:30:01,5.0
29,2022-10-31ID34,2022-10-31,13:51:01,5.1
30,2022-10-31ID35,2022-10-31,13:42:01,5.5
31,2022-10-31ID36,2022-10-31,08:37:02,5.8
32,2022-10-31ID37,2022-10-31,03:28:01,5.0
