,id,date,time,magnitude
0,2022-09-24ID1,2022-09-24,22:04:01,5.0
1,2022-09-24ID3,2022-09-24,19:59:01,5.0
2,2022-09-24ID4,2022-09-24,17:39:01,5.0
3,2022-09-23ID5,2022-09-23,23:08:01,6.1
4,2022-09-23ID7,2022-09-23,21:12:01,5.2
5,2022-09-23ID8,2022-09-23,21:08:01,6.2
6,2022-09-23ID9,2022-09-23,19:20:02,5.4
7,2022-09-23ID10,2022-09-23,18:42:01,5.2
8,2022-09-23ID11,2022-09-23,12:54:02,5.4
9,2022-09-22ID12,2022-09-22,17:25:01,5.2
10,2022-09-22ID17,2022-09-22,09:26:01,5.2
11,2022-09-22ID21,2022-09-22,06:27:02,7.0
12,2022-09-21ID22,2022-09-21,22:41:01,5.0
13,2022-09-21ID23,2022-09-21,18:14:01,5.1
14,2022-09-21ID24,2022-09-21,12:15:02,5.0
15,2022-09-21ID25,2022-09-21,09:49:01,5.7
16,2022-09-20ID26,2022-09-20,23:05:01,5.0
17,2022-09-20ID27,2022-09-20,19:09:01,5.1
18,2022-09-20ID28,2022-09-20,18:44:01,6.0
19,2022-09-20ID29,2022-09-20,08:38:01,5.9
20,2022-09-20ID30,2022-09-20,04:51:01,5.1
21,2022-09-19ID32,2022-09-19,19:51:01,5.3
22,2022-09-19ID33,2022-09-19,18:51:02,5.6
23,2022-09-19ID41,2022-09-19,18:11:01,7.5
24,2022-09-19ID42,2022-09-19,17:01:02,5.9
25,2022-09-19ID45,2022-09-19,04:49:01,5.0
26,2022-09-19ID46,2022-09-19,02:25:01,5.5
27,2022-09-18ID48,2022-09-18,10:22:01,5.0
28,2022-09-18ID49,2022-09-18,10:05:01,5.5
29,2022-09-18ID50,2022-09-18,09:58:01,5.5
30,2022-09-18ID52,2022-09-18,09:04:01,5.2
31,2022-09-18ID53,2022-09-18,08:29:01,5.2
32,2022-09-18ID54,2022-09-18,08:28:01,5.7
33,2022-09-18ID55,2022-09-18,07:17:01,5.1
34,2022-09-18ID59,2022-09-18,06:53:01,5.2
35,2022-09-18ID60,2022-09-18,06:53:01,7.2
36,2022-09-18ID61,2022-09-18,05:39:01,5.6
