,id,date,time,magnitude
0,2022-09-04ID1,2022-09-04,22:14:01,5.3
1,2022-09-04ID2,2022-09-04,20:30:02,5.3
2,2022-09-04ID3,2022-09-04,20:10:01,5.1
3,2022-09-04ID4,2022-09-04,15:19:01,5.3
4,2022-09-04ID5,2022-09-04,10:05:02,6.5
5,2022-09-04ID6,2022-09-04,09:13:01,5.1
6,2022-09-03ID8,2022-09-03,07:13:02,5.0
7,2022-09-03ID9,2022-09-03,04:34:01,5.3
8,2022-09-03ID10,2022-09-03,04:05:02,5.1
9,2022-09-03ID11,2022-09-03,04:05:01,5.4
10,2022-09-02ID12,2022-09-02,23:15:02,6.1
11,2022-09-02ID13,2022-09-02,17:36:01,5.0
12,2022-09-02ID14,2022-09-02,04:51:01,5.0
13,2022-09-01ID15,2022-09-01,16:44:01,5.2
14,2022-09-01ID16,2022-09-01,07:22:01,5.4
15,2022-08-31ID17,2022-08-31,22:05:01,5.5
16,2022-08-31ID18,2022-08-31,03:33:01,5.0
17,2022-08-30ID19,2022-08-30,23:57:01,5.1
18,2022-08-30ID20,2022-08-30,14:19:01,5.2
19,2022-08-30ID21,2022-08-30,13:10:01,5.5
20,2022-08-30ID22,2022-08-30,09:33:01,6.2
21,2022-08-29ID23,2022-08-29,18:34:01,5.8
22,2022-08-29ID26,2022-08-29,13:07:01,5.8
23,2022-08-29ID27,2022-08-29,12:39:01,5.6
24,2022-08-29ID29,2022-08-29,05:12:01,5.1
25,2022-08-29ID31,2022-08-29,03:47:01,5.9
