,id,date,time,magnitude
0,2022-08-19ID2,2022-08-19,18:17:02,5.2
1,2022-08-19ID5,2022-08-19,11:27:01,5.2
2,2022-08-19ID6,2022-08-19,05:25:01,5.3
3,2022-08-19ID8,2022-08-19,03:02:01,5.1
4,2022-08-18ID10,2022-08-18,21:54:01,5.1
5,2022-08-18ID12,2022-08-18,18:03:01,5.0
6,2022-08-18ID15,2022-08-18,08:02:02,5.4
7,2022-08-18ID16,2022-08-18,06:09:01,5.1
8,2022-08-18ID18,2022-08-18,02:28:01,5.3
9,2022-08-17ID21,2022-08-17,13:14:01,5.5
10,2022-08-17ID22,2022-08-17,04:44:01,5.4
11,2022-08-17ID24,2022-08-17,02:07:02,5.2
12,2022-08-16ID26,2022-08-16,17:45:01,5.0
13,2022-08-16ID31,2022-08-16,11:21:01,5.0
14,2022-08-16ID32,2022-08-16,11:01:01,5.1
15,2022-08-16ID33,2022-08-16,08:55:01,5.0
16,2022-08-16ID34,2022-08-16,07:31:02,5.2
17,2022-08-15ID36,2022-08-15,17:08:01,5.0
18,2022-08-15ID39,2022-08-15,08:52:02,5.3
19,2022-08-15ID40,2022-08-15,08:45:02,5.2
20,2022-08-15ID42,2022-08-15,01:56:02,5.1
21,2022-08-14ID44,2022-08-14,21:22:01,6.2
22,2022-08-14ID46,2022-08-14,14:52:02,5.4
23,2022-08-14ID49,2022-08-14,13:55:01,6.8
24,2022-08-14ID52,2022-08-14,10:09:02,5.3
25,2022-08-14ID54,2022-08-14,03:43:01,5.0
26,2022-08-14ID56,2022-08-14,03:31:01,5.9
27,2022-08-14ID58,2022-08-14,03:08:01,5.7
