,id,date,time,magnitude
0,2022-11-05ID1,2022-11-05,19:15:01,5.1
1,2022-11-05ID2,2022-11-05,15:51:01,5.1
2,2022-11-05ID3,2022-11-05,08:48:01,5.3
3,2022-11-05ID4,2022-11-05,08:00:01,5.0
4,2022-11-05ID5,2022-11-05,00:33:01,5.2
5,2022-11-04ID6,2022-11-04,14:59:01,5.0
6,2022-11-04ID8,2022-11-04,10:25:01,6.2
7,2022-11-04ID9,2022-11-04,07:52:01,5.1
8,2022-11-04ID10,2022-11-04,04:47:01,5.7
9,2022-11-04ID11,2022-11-04,03:17:01,5.0
10,2022-11-03ID12,2022-11-03,21:16:01,5.0
11,2022-11-03ID13,2022-11-03,21:14:01,5.4
12,2022-11-03ID14,2022-11-03,19:06:02,5.3
13,2022-11-03ID16,2022-11-03,05:05:01,5.1
14,2022-11-02ID18,2022-11-02,14:38:01,5.7
15,2022-11-02ID19,2022-11-02,13:42:01,5.0
16,2022-11-02ID20,2022-11-02,05:13:01,6.0
17,2022-11-02ID21,2022-11-02,02:55:01,5.3
18,2022-11-02ID22,2022-11-02,00:05:01,5.1
19,2022-11-01ID23,2022-11-01,13:56:01,5.0
20,2022-11-01ID24,2022-11-01,08:51:01,5.4
21,2022-10-31ID25,2022-10-31,22:01:02,5.5
22,2022-10-31ID26,2022-10-31,14:30:01,5.0
23,2022-10-31ID27,2022-10-31,13:51:01,5.1
24,2022-10-31ID28,2022-10-31,13:42:01,5.5
25,2022-10-31ID29,2022-10-31,08:37:02,5.8
26,2022-10-31ID30,2022-10-31,03:28:01,5.0
27,2022-10-30ID31,2022-10-30,22:37:01,5.2
28,2022-10-30ID32,2022-10-30,18:45:01,5.3
