,id,date,time,magnitude
0,2022-09-03ID1,2022-09-03,07:13:02,5.0
1,2022-09-03ID2,2022-09-03,04:34:01,5.3
2,2022-09-03ID3,2022-09-03,04:05:02,5.1
3,2022-09-03ID4,2022-09-03,04:05:01,5.4
4,2022-09-02ID5,2022-09-02,23:15:02,6.1
5,2022-09-02ID6,2022-09-02,17:36:01,5.0
6,2022-09-02ID7,2022-09-02,04:51:01,5.0
7,2022-09-01ID8,2022-09-01,16:44:01,5.2
8,2022-09-01ID9,2022-09-01,07:22:01,5.4
9,2022-08-31ID10,2022-08-31,22:05:01,5.5
10,2022-08-31ID11,2022-08-31,03:33:01,5.0
11,2022-08-30ID12,2022-08-30,23:57:01,5.1
12,2022-08-30ID13,2022-08-30,14:19:01,5.2
13,2022-08-30ID14,2022-08-30,13:10:01,5.5
14,2022-08-30ID15,2022-08-30,09:33:01,6.2
15,2022-08-29ID16,2022-08-29,18:34:01,5.8
16,2022-08-29ID19,2022-08-29,13:07:01,5.8
17,2022-08-29ID20,2022-08-29,12:39:01,5.6
18,2022-08-29ID22,2022-08-29,05:12:01,5.1
19,2022-08-29ID24,2022-08-29,03:47:01,5.9
20,2022-08-28ID26,2022-08-28,22:47:02,5.8
21,2022-08-28ID28,2022-08-28,19:06:02,5.6
22,2022-08-28ID30,2022-08-28,13:41:02,5.1
23,2022-08-28ID36,2022-08-28,04:02:01,5.1
24,2022-08-28ID40,2022-08-28,01:13:02,5.3
