,id,date,time,magnitude
0,2022-10-09ID1,2022-10-09,23:18:02,5.0
1,2022-10-09ID2,2022-10-09,21:32:01,5.4
2,2022-10-09ID4,2022-10-09,17:01:01,6.2
3,2022-10-08ID5,2022-10-08,22:20:02,5.2
4,2022-10-08ID6,2022-10-08,15:10:01,5.3
5,2022-10-07ID9,2022-10-07,09:36:02,5.8
6,2022-10-07ID10,2022-10-07,08:21:01,5.0
7,2022-10-06ID12,2022-10-06,19:49:02,5.1
8,2022-10-06ID13,2022-10-06,16:57:01,5.3
9,2022-10-06ID14,2022-10-06,04:08:02,5.3
10,2022-10-06ID15,2022-10-06,02:19:01,5.0
11,2022-10-05ID16,2022-10-05,18:35:01,5.1
12,2022-10-05ID17,2022-10-05,16:53:01,5.3
13,2022-10-05ID18,2022-10-05,08:44:01,5.8
14,2022-10-05ID19,2022-10-05,00:41:01,5.7
15,2022-10-04ID20,2022-10-04,22:34:01,5.1
16,2022-10-04ID21,2022-10-04,13:30:01,5.0
17,2022-10-03ID22,2022-10-03,18:23:01,5.2
18,2022-10-03ID25,2022-10-03,08:40:01,5.0
19,2022-10-03ID26,2022-10-03,07:21:02,5.5
