,id,date,time,magnitude
0,2022-10-23ID1,2022-10-23,15:29:01,5.0
1,2022-10-23ID2,2022-10-23,02:34:01,5.1
2,2022-10-23ID3,2022-10-23,02:23:02,5.1
3,2022-10-23ID4,2022-10-23,00:12:01,5.1
4,2022-10-22ID5,2022-10-22,22:01:01,5.0
5,2022-10-22ID6,2022-10-22,19:58:01,5.0
6,2022-10-22ID7,2022-10-22,12:30:01,5.0
7,2022-10-22ID8,2022-10-22,05:37:01,5.3
8,2022-10-21ID9,2022-10-21,09:39:01,5.2
9,2022-10-21ID10,2022-10-21,02:42:01,5.0
10,2022-10-20ID14,2022-10-20,12:07:02,6.9
11,2022-10-20ID15,2022-10-20,07:12:01,5.1
12,2022-10-20ID16,2022-10-20,05:27:02,5.2
13,2022-10-19ID17,2022-10-19,15:23:02,5.6
14,2022-10-19ID18,2022-10-19,14:57:01,5.1
15,2022-10-19ID19,2022-10-19,08:26:01,5.4
16,2022-10-19ID20,2022-10-19,06:16:01,5.2
17,2022-10-19ID21,2022-10-19,04:55:01,5.5
18,2022-10-19ID22,2022-10-19,04:37:01,5.1
19,2022-10-18ID23,2022-10-18,12:07:01,5.0
20,2022-10-18ID24,2022-10-18,07:50:02,5.0
21,2022-10-17ID25,2022-10-17,13:52:01,5.2
22,2022-10-17ID26,2022-10-17,13:41:01,5.1
23,2022-10-17ID27,2022-10-17,13:32:02,5.0
24,2022-10-17ID28,2022-10-17,08:35:01,5.1
